profid,clientfocus
98395,Children (6 to 10)
98395,Preteens / Tweens (11 to 13)
98395,Adolescents / Teenagers (14 to 19)
98395,Adults
98395,Elders (65+)
35670,Children (6 to 10)
35670,Adolescents / Teenagers (14 to 19)
35670,Adults
35670,Elders (65+)
125127,Adolescents / Teenagers (14 to 19)
125127,Adults
125127,Elders (65+)
160854,Children (6 to 10)
160854,Preteens / Tweens (11 to 13)
160854,Adolescents / Teenagers (14 to 19)
160854,Adults
204890,Adolescents / Teenagers (14 to 19)
204890,Adults
148336,Toddlers / Preschoolers (0 to 6)
148336,Children (6 to 10)
148336,Preteens / Tweens (11 to 13)
148336,Adolescents / Teenagers (14 to 19)
148336,Adults
56057,Adolescents / Teenagers (14 to 19)
56057,Adults
56057,Elders (65+)
80897,Children (6 to 10)
80897,Preteens / Tweens (11 to 13)
80897,Adolescents / Teenagers (14 to 19)
80897,Adults
80897,Elders (65+)
146584,Preteens / Tweens (11 to 13)
146584,Adolescents / Teenagers (14 to 19)
146584,Adults
146584,Elders (65+)
192670,Toddlers / Preschoolers (0 to 6)
192670,Children (6 to 10)
192670,Preteens / Tweens (11 to 13)
192670,Adolescents / Teenagers (14 to 19)
192670,Adults
192670,Elders (65+)
71353,Children (6 to 10)
71353,Preteens / Tweens (11 to 13)
71353,Adolescents / Teenagers (14 to 19)
71353,Adults
71353,Elders (65+)
138210,Adolescents / Teenagers (14 to 19)
138210,Adults
157488,Children (6 to 10)
157488,Preteens / Tweens (11 to 13)
157488,Adolescents / Teenagers (14 to 19)
157488,Adults
157488,Elders (65+)
132142,Toddlers / Preschoolers (0 to 6)
132142,Children (6 to 10)
132142,Preteens / Tweens (11 to 13)
132142,Adolescents / Teenagers (14 to 19)
132142,Adults
132142,Elders (65+)
131004,Children (6 to 10)
131004,Preteens / Tweens (11 to 13)
131004,Adolescents / Teenagers (14 to 19)
131004,Adults
131004,Elders (65+)
77151,Adolescents / Teenagers (14 to 19)
77151,Adults
168667,Children (6 to 10)
168667,Preteens / Tweens (11 to 13)
168667,Adolescents / Teenagers (14 to 19)
168667,Adults
168667,Elders (65+)
242846,Children (6 to 10)
242846,Preteens / Tweens (11 to 13)
242846,Adolescents / Teenagers (14 to 19)
242846,Adults
42695,Preteens / Tweens (11 to 13)
42695,Adolescents / Teenagers (14 to 19)
42695,Adults
42695,Elders (65+)
