"stateUpper","state","stateAbbr","stateCode"
"ALABAMA","Alabama","AL",1
"ALASKA","Alaska","AK",2
"ARIZONA","Arizona","AZ",3
"ARKANSAS","Arkansas","AR",4
"CALIFORNIA","California","CA",5
"COLORADO","Colorado","CO",6
"CONNECTICUT","Connecticut","CT",7
"DELAWARE","Delaware","DE",8
"FLORIDA","Florida","FL",9
"GEORGIA","Georgia","GA",10
"HAWAII","Hawaii","HI",11
"IDAHO","Idaho","ID",12
"ILLINOIS","Illinois","IL",13
"INDIANA","Indiana","IN",14
"IOWA","Iowa","IA",15
"KANSAS","Kansas","KS",16
"KENTUCKY","Kentucky","KY",17
"LOUISIANA","Louisiana","LA",18
"MAINE","Maine","ME",19
"MARYLAND","Maryland","MD",20
"MASSACHUSETTS","Massachusetts","MA",21
"MICHIGAN","Michigan","MI",22
"MINNESOTA","Minnesota","MN",23
"MISSISSIPPI","Mississippi","MS",24
"MISSOURI","Missouri","MO",25
"MONTANA","Montana","MT",26
"NEBRASKA","Nebraska","NE",27
"NEVADA","Nevada","NV",28
"NEW HAMPSHIRE","New Hampshire","NH",29
"NEW JERSEY","New Jersey","NJ",30
"NEW MEXICO","New Mexico","NM",31
"NEW YORK","New York","NY",32
"NORTH CAROLINA","North Carolina","NC",33
"NORTH DAKOTA","North Dakota","ND",34
"OHIO","Ohio","OH",35
"OKLAHOMA","Oklahoma","OK",36
"OREGON","Oregon","OR",37
"PENNSYLVANIA","Pennsylvania","PA",38
"RHODE ISLAND","Rhode Island","RI",39
"SOUTH CAROLINA","South Carolina","SC",40
"SOUTH DAKOTA","South Dakota","SD",41
"TENNESSEE","Tennessee","TN",42
"TEXAS","Texas","TX",43
"UTAH","Utah","UT",44
"VERMONT","Vermont","VT",45
"VIRGINIA","Virginia","VA",46
"WASHINGTON","Washington","WA",47
"WEST VIRGINIA","West Virginia","WV",48
"WISCONSIN","Wisconsin","WI",49
"WYOMING","Wyoming","WY",50
"PUERTO RICO","Puerto Rico","PR",51
"ALBERTA","Canada","CAN",52
"BRITISH COLUMBIA","Canada","CAN",53
"MANITOBA","Canada","CAN",54
"NEW BRUNSWICK","Canada","CAN",55
"NEWFOUNDLAND and LABRADOR","Canada","CAN",56
"NOVA SCOTIA","Canada","CAN",57
"ONTARIO","Canada","CAN",58
"PRINCE EDWARD ISLAND","Canada","CAN",59
"QUEBEC","Canada","CAN",60
"SASKATCHEWAN","Canada","CAN",61
"YUKON","Canada","CAN",62
"ARMED FORCES PACIFIC","Armed Forces Pacific","AFP",63
"GUAM","Guam","GUM",64
"DISTRICT OF COLUMBIA","District of Columbia","DC",65
