Scholarship URL,Scholarship Title,Provided By,Amount,Deadline,Description
http://www.fastweb.com/college-scholarships/scholarships/68234-voice-of-democracy-scholarship-competition,Voice of Democracy Scholarship Competition,Veterans of Foreign Wars of the United States,"$30,000","November 01, 2015","The Voice of Democracy Scholarship Competition is open to high school students.  To enter, you must write and record a three- to five-minute broadcast script on the following theme: ""Why Veterans are Important to our Nation's History and Future""."
http://www.fastweb.com/college-scholarships/scholarships/108608-american-legion-national-high-school-oratorical-contest,American Legion National High School Oratorical Contest,The American Legion,"$18,000",Varies,"The National High School Oratorical Contest is open to junior high and high school students who are under the age of 20 and citizens or lawful permanent residents of the United States.  You must prepare an oration on some aspect of the U.S. Constitution, with some emphasis on the duties and obligations of citizens to our government.  A complete list of topics are available on the Legion's Web site.  Each individual state winner certified into and participating in the first round of the national contest receives an additional $1,500 scholarship."
http://www.fastweb.com/college-scholarships/scholarships/162493-create-a-greeting-card-scholarship-contest,Create-a-Greeting Card Scholarship Contest,The Gallery Collection,"$10,000","February 26, 2016","The Create-A-Greeting Card Scholarship Contest is open to currently enrolled high school and college students in the United States.  To enter, you must design a holiday, get well, or birthday greeting card and submit your work to be judged.  Your photo, art, or graphics submitted must be your own original work and you must be at least 14 years of age to be eligible for this award."
http://www.fastweb.com/college-scholarships/scholarships/68806-ventures-scholars-program,Ventures Scholars Program,"Ventures in Education, Inc.","$10,000",Varies,The Ventures Scholars Program is open to underrepresented and first - generation college - bound students.  You must be pursuing a math - or science - based career to be considered for this award.
http://www.fastweb.com/college-scholarships/scholarships/162328-bluetooth-breakthrough-award,Bluetooth Breakthrough Award,"Bluetooth SIG, Inc.","$5,000","November 04, 2015","The Bluetooth Breakthrough Award is available to high school, undergraduate, and graduate students.  To be considered, you must submit an idea for a product, application, prototype; or student - led project that demonstrates how Bluetooth technology can be used in new ways.  A letter of recommendation from a teacher or professor is advised."
http://www.fastweb.com/college-scholarships/scholarships/166383-niche-2-000-no-essay-scholarship,"Niche $2,000 No Essay Scholarship",Niche,"$2,000","July 31, 2015","We know you are busy and we know that times are tough.  That is why we decided to create the easiest possible scholarship to give something back to students.  Students can use the money to help cover tuition, housing, meal plans, books, computers, or any education-related expenses.  The scholarship is open to all high school and college students and those planning to enroll in the next 12 months."
http://www.fastweb.com/college-scholarships/scholarships/165972-brilliance-scholarship,Brilliance Scholarship,"Brilliance, LLC","$1,500","August 01, 2015","The Brilliance Scholarship is available to creative students that demonstrate an interest of designing beautiful, unique jewelry.  You must create an original diamond ring design and submit one to two paragraphs (up to 200 words) about the design and its inspiration to qualify for this award.  Designs will be judged on overall look, creativity, and the design’s inspiration."
http://www.fastweb.com/college-scholarships/scholarships/163614-technology-addiction-awareness-scholarship,Technology Addiction Awareness Scholarship,Digital Responsibility,"$1,500","January 30, 2016","The Technology Addiction Awareness Scholarship is available to high school, undergraduate or graduate students.  You must be U.S. citizen or legal resident and submit a short message about technology addiction to qualify for this award."
http://www.fastweb.com/college-scholarships/scholarships/163612-don-t-text-and-drive-scholarship,Don't Text and Drive Scholarship,Digital Responsibility,"$1,500","September 30, 2015","The Don't Text and Drive Scholarship is available to high school, undergraduate or graduate students.  You must be U.S. citizen or legal resident and complete a short statement on why you pledge not to text and drive in order to qualify for this award."
http://www.fastweb.com/college-scholarships/scholarships/152556-james-w-cooper-fellows-essay-contest,James W. Cooper Fellows Essay Contest,Connecticut Bar Foundation,"$3,000",Varies,"The James W. Cooper Fellows Essay Contest is available to Connecticut high school students.  To be considered, you must address the following topic: ""Is out of school out of bounds?""  Students are to assume the role of a legislative assistant to a state senator and prepare a memorandum, not to exceed 1000 words, that explores the pros and cons of amending Connecticuts bullying statute."
