URL,Title,Address,Classes,Camps,Schools,Childcare,Places,Birthdays,Class Schedule link,Camp Schedule Link,Hours,Registration,Age Range,Cost,Phone,Website,Mail ID,Facebook Link,Description,Love Rating,Image URL
http://hulafrog.com/chandler-az/the-learning-place-preschool-queen-creek-372/,The Learning Place Preschool,"22721 S. Ellsworth RdQueen Creek, AZ 85142",Learning,"Academic, All, Arts",Preschools,O T H E R,,,,,M-F 8:00 AM - 3:30 PM,,,,480-332-6541,http://www.TheLearningPlacePreschool.net,Sarah@TheLearningPlacePreschool.net,https://www.facebook.com/TheLearningPlacePreschoolQC,"The Learning Place Preschool offers classes in the morning and afternoon 2, 3 or 5 days a week for kids from 2-5 years of age.  With an excellent curriculum, professional staff, and extraordinary facilities we know you will love The Learning Place Preschool.  We use The Creative Curriculum for Preschool and ZooPhonics to give your child a rich, developmentally appropriate program to give your child a love of learning and prepare them for success in kindergarten and beyond.",3,http://hulafrogportal.com/sugar/dev/uploads/thumbnail_14152381511126353176.jpg
http://hulafrog.com/chandler-az/bricks-4-kidz-chandler-ce/,Bricks 4 Kidz,"Various Locations in the ValleyChandler, AZ 85224",Learning,Academic,,,,,,,,,,,480-735-4418,http://,kkretsch@bricks4kidz.com,,"Our programs provide an extraordinary atmosphere for students to build unique creations, play games, and have loads of fun using LEGO? bricks. The activities are designed to trigger young children?s lively imaginations and build their self-confidence.

",2,http://hulafrog.com/hulastock/subcat/Default-Image-Camps-Academic.jpg
http://hulafrog.com/chandler-az/chandler-gilbert-family-ymca--29/,Chandler/Gilbert Family YMCA,"1655 West Frye Road, AZ 85224","Acting, Arts, Cooking, Dance, Gymnastics, Learning, Languages, Martial, Nature, Music, Sports, Swim, Other","Academic, All, Arts, Cooking, Dance, Music, Sports, Swim",,,"Indoor, Other",Party Places,http://www.valleyymca.org/selectionETLAH.cfm,http://www.valleyymca.org/selectionCamp.cfm,Mon. - Sun.: 12:00 AM - 12:00 AM,,,,480-899-9622,http://www.valleyymca.org/chandlergilbert,rtrulove@vosymca.org,https://www.facebook.com/ChandlerGilbertYMCA,"1655 West Frye Road,Chandler, AZ 85224Phone: (480) 899-9622  Jessie Sands, Executive Director Hours:Mon-Thu 5:00AM to 10:00PM Friday 5:-00AM to 9:30PM Saturday 7:00AM to 6:00PM Sunday 11:00AM to 4:00PM",2,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Other.jpg
http://hulafrog.com/chandler-az/mathnasium-gilbert-da/,Mathnasium,"538 S. Gilbert RdGilbert, AZ 85296",Learning,Academic,,,,,,,,,,,480-782-7987,http://www.mathnasium.com/gilbert,gilbert@mathnasium.com,,"At Mathnasium of Gilbert, we specialize in teaching kids math the way that makes sense to them. During the Summer at Mathnasium - Monday through Thursday, we have game time from 1PM to 2PM. Students can play a variety of math and strategy games with other students. It's a great time for all and everyone makes new friends. Math starts at 2PM. Why not drop your child off for an hour of games followed by an hour of math? During the summer, students attend as often as you like. 

",1,http://hulafrog.com/hulastock/subcat/Default-Image-Camps-Academic.jpg
http://hulafrog.com/chandler-az/mathnasium-chandler-chandler-69/,Mathnasium- Chandler,"3875 West Ray RoadChandler, AZ 85226",Learning,Academic,,,,,,,"MON-THURS: 2:30 PM-7:00 PM, SAT: 1:00 PM-3:00 PM",,,,480-782-1924,http://www.mathnasium.com/chandler,chandler@mathnasium.com,,"At Mathnasium, we specialize in teaching kids math the way that makes sense to them. Using the time-tested proprietary Mathnasium Method? and curriculum that has helped thousands of students in more than 200 Mathnasium centers nationwide, we are committed to helping your child catch up, keep up, and get ahead in math.  Our team of highly skilled instructors is passionate about math and helping kids and has been rigorously trained to teach the Mathnasium way.



",1,http://hulafrog.com/hulastock/subcat/Default-Image-Camps-Academic.jpg
http://hulafrog.com/chandler-az/the-goddard-school-gilbert-ed/,The Goddard School,"4080 East Germann RoadGilbert, AZ 85297",Learning,Academic,"Preschools, Private",,,,,,MON-FRI: 6:30 AM-6:30 PM,,,,480-988-0185,http://www.goddardschool.com/Schools/Gilbert-III-AZ/schools.gspx,Gilbert3AZ@goddardschools.com,,"The Goddard School can make a positive difference in your child's life. Our warm, loving atmosphere features a year-round extended day program from 6:30 AM to 6:30 PM, Monday through Friday. We also have a half-day Preschool program, from 9 AM to 1 PM. Our program is designed to enhance the emotional, social, intellectual and physical development of your child from six weeks to six years of age. We also offer a Summer Program for children up to eight years of age. 

",1,http://hulafrog.com/hulastock/subcat/Default-Image-Schools-Preschools.jpg
http://hulafrog.com/chandler-az/the-goddard-school--79/,The Goddard School,,Learning,"Academic, Other","Daycare, Preschools, Private",Daycare,,,,,,,,,(480) 821-1234,http://www.goddardschool.com/Schools/Chandler-I-AZ/schools.gspx,chandler1az@goddardschools.com,,"The Goddard School can make a positive difference in your child's life. Our warm, loving atmosphere features a year round program from 7am to 6pm, Monday through Friday. Our program is designed to enhance the emotional, social, intellectual and physical development of children from six weeks to six years of age. We also offer an after-school enrichment and summer program for children up to seven years of age.",1,http://hulafrog.com/hulastock/subcat/Default-Image-Childcare-Daycare-Centers.jpg
http://hulafrog.com/chandler-az/the-goddard-school-chandler-01/,The Goddard School,"1815 West Chanlder BoulevardChandler, AZ 85224",Learning,Academic,"Daycare, Preschools, Private",Daycare,,,,,MON-FRI: 7:00 AM-6:00 PM,,,,480-821-1234,http://www.goddardschool.com/Schools/Chandler-I-AZ/schools.gspx,Chandler1AZ@goddardschools.com,,"The Goddard School can make a positive difference in your child's life. Our warm, loving atmosphere features a year round program from 7am to 6pm, Monday through Friday. Our program is designed to enhance the emotional, social, intellectual and physical development of children from six weeks to six years of age. We also offer an after-school enrichment and summer program for children up to seven years of age.",1,http://hulafrog.com/hulastock/subcat/Default-Image-Childcare-Daycare-Centers.jpg
http://hulafrog.com/chandler-az/the-goddard-school-gilbert-68/,The Goddard School,"720 East Warner RoadGilbert, AZ 85296",Learning,Academic,"Daycare, Preschools, Private",Daycare,,,,,MON-FRI:9:00 AM-6:00 PM,,,,480-633-3196,http://www.goddardschool.com/Schools/Gilbert-II-AZ/schools.gspx,Gilbert2AZ@goddardschools.com,,"Our School environment is fun and nurturing with a high energy level. Children learn by participating in fun activities, and there is plenty of room to roam and discover. From future artists to future engineers, we strive to set the right foundation for our students.",1,http://hulafrog.com/hulastock/subcat/Default-Image-Childcare-Daycare-Centers.jpg
http://hulafrog.com/chandler-az/the-goddard-school-gilbert-fa/,The Goddard School,"1420 North Higley RoadGilbert, AZ 85234",Learning,Academic,"Daycare, Preschools, Private",Daycare,,,,,,,,,480-830-6028,http://www.goddardschool.com/Schools/Gilbert-I-AZ/schools.gspx,Gilbert1AZ@goddardschools.com,,"Our School environment is fun and nurturing with a high energy level. Children learn by participating in fun activities, and there is plenty of room to roam and discover. From future artists to future engineers, we strive to set the right foundation for our students.",1,http://hulafrog.com/hulastock/subcat/Default-Image-Childcare-Daycare-Centers.jpg
