URL,Title,Address,Classes,Childcare,Places,Birthdays,Hours,Phone,Website,Mail ID,Facebook Link,Description,Love Rating,Image URL
http://hulafrog.com/chandler-az/the-goddard-school--79/,The Goddard School,,Learning,Daycare,,,,(480) 821-1234,http://www.goddardschool.com/Schools/Chandler-I-AZ/schools.gspx,chandler1az@goddardschools.com,,"The Goddard School can make a positive difference in your child's life. Our warm, loving atmosphere features a year round program from 7am to 6pm, Monday through Friday. Our program is designed to enhance the emotional, social, intellectual and physical development of children from six weeks to six years of age. We also offer an after-school enrichment and summer program for children up to seven years of age.",1,http://hulafrog.com/hulastock/subcat/Default-Image-Childcare-Daycare-Centers.jpg
http://hulafrog.com/chandler-az/the-goddard-school-chandler-01/,The Goddard School,"1815 West Chanlder BoulevardChandler, AZ 85224",Learning,Daycare,,,MON-FRI: 7:00 AM-6:00 PM,480-821-1234,http://www.goddardschool.com/Schools/Chandler-I-AZ/schools.gspx,Chandler1AZ@goddardschools.com,,"The Goddard School can make a positive difference in your child's life. Our warm, loving atmosphere features a year round program from 7am to 6pm, Monday through Friday. Our program is designed to enhance the emotional, social, intellectual and physical development of children from six weeks to six years of age. We also offer an after-school enrichment and summer program for children up to seven years of age.",1,http://hulafrog.com/hulastock/subcat/Default-Image-Childcare-Daycare-Centers.jpg
http://hulafrog.com/chandler-az/the-goddard-school-gilbert-68/,The Goddard School,"720 East Warner RoadGilbert, AZ 85296",Learning,Daycare,,,MON-FRI:9:00 AM-6:00 PM,480-633-3196,http://www.goddardschool.com/Schools/Gilbert-II-AZ/schools.gspx,Gilbert2AZ@goddardschools.com,,"Our School environment is fun and nurturing with a high energy level. Children learn by participating in fun activities, and there is plenty of room to roam and discover. From future artists to future engineers, we strive to set the right foundation for our students.",1,http://hulafrog.com/hulastock/subcat/Default-Image-Childcare-Daycare-Centers.jpg
http://hulafrog.com/chandler-az/the-goddard-school-gilbert-fa/,The Goddard School,"1420 North Higley RoadGilbert, AZ 85234",Learning,Daycare,,,,480-830-6028,http://www.goddardschool.com/Schools/Gilbert-I-AZ/schools.gspx,Gilbert1AZ@goddardschools.com,,"Our School environment is fun and nurturing with a high energy level. Children learn by participating in fun activities, and there is plenty of room to roam and discover. From future artists to future engineers, we strive to set the right foundation for our students.",1,http://hulafrog.com/hulastock/subcat/Default-Image-Childcare-Daycare-Centers.jpg
http://hulafrog.com/chandler-az/tutor-time-chandler-73/,Tutor Time,"1900 South Alma School RoadChandler, AZ 85286",Learning,Daycare,,,MON-FRI: 6:30 AM-6:30 PM,(877) 684-1613,http://www.tutortime.com/our-schools/chandler-az-6067/,corporateservices@learningcaregroup.com,,"At Tutor Time, our educational daycare begins with a deep respect for your child's eagerness to learn and capacity to develop meaningful relationships.",1,http://hulafrog.com/hulastock/subcat/Default-Image-Childcare-Daycare-Centers.jpg
http://hulafrog.com/chandler-az/bella-montessori-gilbert-8a/,Bella Montessori,"700 South Island DriveGilbert, AZ 85233",,Daycare,,,,(480) 993-3393,http://bellamontessori.com/,info@bellamontessori.com,,Bella Montessori is a private Montessori program for toddlers aged 18 months to 3 years and for pre-school/kindergarten children ages 3-6 years.  We provide small class size and an outdoor environment as an extension of the classroom.,0,http://hulafrog.com/hulastock/subcat/Default-Image-Childcare-Daycare-Centers.jpg
http://hulafrog.com/chandler-az/bright-horizons-chandler-a8/,Bright Horizons,"1151 West Ray RoadChandler, AZ 85224",,Daycare,,,MON-FRI: 7:00 AM-6:00 PM,(480) 792-6448,http://promotions.brighthorizons.com/?crcat=ppc&crsource=google&crcpn={AdGroup}&crkw=preschools&Network=Search&ad=7370380580&SiteTarget=&gclid=CODpksXhiK8CFakERQod1Q8r_g,Parents@brighthorizons.com,,"The Bright Horizons Family Solutions mission is to provide innovative programs that help children, families, and employers work together to be their very best. We are committed to providing the highest-quality child care, early education, and work/life solutions in the world. ",0,http://hulafrog.com/hulastock/subcat/Default-Image-Childcare-Daycare-Centers.jpg
http://hulafrog.com/chandler-az/childtime-gilbert-b7/,Childtime,"3319 East BaselineGilbert, AZ 85234",,Daycare,,,MON-FRI: 6:00 AM-6:30 PM,480-497-2855,http://www.childtime.com/our-schools/gilbert-az-1445/,1445@childtime.com,,,0,http://hulafrog.com/hulastock/subcat/Default-Image-Childcare-Daycare-Centers.jpg
http://hulafrog.com/chandler-az/childtime-chandler-66/,Childtime,"350 North Pennington DriveChandler, AZ 85224",,Daycare,,,MON-FRI: 6:00 AM-6:30 PM,(480) 732-0100,http://www.childtime.com/our-schools/chandler-az-1435/,CN157@abc.com,,"At Tutor Time, our educational daycare begins with a deep respect for your child?s eagerness to learn and capacity to develop meaningful relationships.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Childcare-Daycare-Centers.jpg
http://hulafrog.com/chandler-az/east-valley-jcc-chandler-13/,East Valley JCC,"908 N. Alma School Rd.Chandler, AZ 85224","Learning, Other",Daycare,,,MON-FRI: 7:00 AM-6:00 PM,480-897-0588,http://www.evjcc.org/,info@evjcc.org,,"The JCC offers a wide variety of programs to people of all ages specifically in the areas of early childhood education, after school enrichment and summer camp. Child care services are offered for infants ages 6 weeks through preschool age. Summer camp through 9th grade.



It is the goal of the JCC to provide a point of connection to enhance the quality of life for its community. Families and individuals of all ages can develop relationships through a variety of activities: clubs, playgroups, special events, activities and classes for seniors, adults, youth and families.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Childcare-Daycare-Centers.jpg
