URL,Title,Address,Classes,Camps,Class Schedule link,Camp Schedule Link,Hours,Registration,Age Range,Cost,Phone,Website,Mail ID,Description,Love Rating,Image URL
http://hulafrog.com/chandler-az/baker-school-of-music-san-tan-gilbert-f0/,Baker School of Music - San Tan,"2270 E Williamsfield Rd, Ste 104Gilbert, AZ 85295","Acting, Dance, Music, Other","Dance, Music, Performing",,http://bakerschoolofmusic.com,,,,,480-313-6763,http://bakerschoolofmusic.com/,ClydeBakerJr@aol.com,"The Baker School of Music/Dance/Drama provides an enriching experience in the Performing Arts: Music, Dance, Drama for children ages 3 and up.",5,http://hulafrog.com/hulastock/subcat/Default-Image-Camps-Dance.jpg
http://hulafrog.com/chandler-az/tumbleweed-recreation-center-chandler-93/,Tumbleweed Recreation Center,"745 E. Germann RdChandler, AZ 85286","Acting, Arts, Cooking, Dance, Gymnastics, Learning, Languages, Martial, Nature, Music, Sports",All,http://www.chandleraz.gov/default.aspx?pageid=299,http://www.chandleraz.gov/content/TRCSpringYouthParentGuide214.pdf,"MON-FRI: 5 AM-8 PM, SAT: 7 AM-8 PM, SUN: 10 AM-6:30 PM.",,,,480-782-2900,http://chandleraz.gov/default.aspx?pageid=781,abel.mendoza@chandleraz.gov,"Tumbleweed Recreation Center is a part of Chandler Parks and Recreation.  We offer a variety of classes, events, and activities for your family to enjoy!",3,http://hulafrog.com/hulastock/subcat/Default-Image-Wellness-Fitness-Centers.jpg
http://hulafrog.com/chandler-az/chandler-center-for-the-arts-chandler-e6/,Chandler Center For The Arts,"250 N. Arizona AvenueChandler, AZ 85225","Acting, Arts, Dance, Music","Dance, Music, Performing",http://chandlercenter.org/connecting/camp/workshop.html,http://chandlercenter.org/connecting/camp-kidz-main.html,"MON-FRI: 10:00 AM-5:00 PM, SAT: 12:00 PM-5:00 PM",,,,(480) 782-2674,http://chandlercenter.org,judi.johnson@chandleraz.gov,Research shows that the benefit of arts experiences has a tremendous impact on the developmental growth of young people. Youth exposed to the arts are more successful in the classroom and have increased developmental life skills. The Chandler Center for the Arts provides youth with an array of programmatic opportunities for them to experience the magic of the arts through the Connecting Kidz programs.,2,http://hulafrog.com/hulastock/subcat/Default-Image-Recreation-Centers.jpg
http://hulafrog.com/chandler-az/chandler-gilbert-family-ymca--29/,Chandler/Gilbert Family YMCA,"1655 West Frye Road, AZ 85224","Acting, Arts, Cooking, Dance, Gymnastics, Learning, Languages, Martial, Nature, Music, Sports, Swim, Other","Academic, All, Arts, Cooking, Dance, Music, Sports, Swim",http://www.valleyymca.org/selectionETLAH.cfm,http://www.valleyymca.org/selectionCamp.cfm,Mon. - Sun.: 12:00 AM - 12:00 AM,,,,480-899-9622,http://www.valleyymca.org/chandlergilbert,,"1655 West Frye Road,Chandler, AZ 85224Phone: (480) 899-9622  Jessie Sands, Executive Director Hours:Mon-Thu 5:00AM to 10:00PM Friday 5:-00AM to 9:30PM Saturday 7:00AM to 6:00PM Sunday 11:00AM to 4:00PM",2,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Other.jpg
http://hulafrog.com/chandler-az/copperstar-repertory-co--chandler-a1/,Copperstar Repertory Co.,"3002 N Arizona AvenueChandler, AZ 85225","Acting, Dance, Music","Dance, Performing",http://www.copperstarrep.org/pdfs/2013_studio_schedule.pdf,http://copperstarrep.org/education/camps.shtml,,,,,480-699-1655,http://www.copperstarrep.org,,"Copperstar Repertory Co. is a nonprofit arts organization whose mission is to entertain, educate and enrich community members of all ages by offering high quality productions, providing professional instruction in performing arts, and creating performance opportunities for Arizona?s youth and adults.",2,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Theaters-and-Concert-Halls.jpg
http://hulafrog.com/chandler-az/jeanne-s-school-of-dance-chandler-chandler-88/,Jeanne's School of Dance Chandler,"610 N. Alma School RoadChandler, AZ 85224","Acting, Dance, Gymnastics","Dance, Gymnastics, Performing",,,,,,,480-963-6674,http://www.jeannesdancechandler.com,,"At Jeanne's School of Dance - Chandler, you're part of our family.  We get to know all our dancers and studio families so when you're here . . . you're home!  We look at each dancer as one of our own.  We will work with them and be their biggest cheerleader as they aim to achieve their dreams!  Our teachers are not only highly trained in their own styles of dance and theater, they are also masters at building confidence in our students and giving them the mental and emotional tools they need to conquer anything they want!",2,http://hulafrogportal.com/sugar/dev/uploads/thumbnail_14117746671313094377.png
http://hulafrog.com/chandler-az/studio-3-perfoming-arts-gilbert-b8/,Studio 3 Perfoming Arts,"511 W Guadalupe RoadGilbert, AZ 85233","Acting, Dance, Gymnastics, Music, Other","Dance, Gymnastics, Music, Performing, Other",http://www.studio3arts.com/academy/classes/,http://www.studio3arts.com/breakout-the-intensive-spring-break-2012/,,,,,(480) 545-1492,http://www.studio3arts.com/,info@studio3arts.com,"At Studio 3 Performing Arts, we are dedicated to providing a well-rounded education through diverse course offerings, quality programs, and a true sense of community.
Above all, Studio 3 is a place for families. We encourage programs and schedules that allow siblings to take classes at the same time, create bonding experiences for our students, and encourage parents to get involved, giving everyone a strong sense of community. Together, we are the Studio 3 Family!


",2,http://hulafrog.com/hulastock/subcat/Default-Image-Camps-Dance.jpg
http://hulafrog.com/chandler-az/talent-team-performing-arts-chandler-80/,Talent Team - Performing Arts,"Multiple LocationsChandler, AZ 85296","Acting, Dance, Music",,,,,,,,602-653-6123,http://www.facebook.com/TalentTeam.EastValleyHomeschool,TalentTeamAZ@gmail.com,"Making Stars, While Building Character!



Talent Team is a nationally recognized Performing Arts Program, with a distinctly different approach.  We incorporate character building and values into our programs.  Utilizing modest costumes and coreography, and appropriate songs, we teach our students professional quality dance, vocal and acting skills that build their confidence and character.  



You can find our after-school programs offered through CUSD, and Tumbelweed Recreation Center.  New this year, we are alos offering classes during the day focused on home school families.  We have 2 locations for these classes.



One at Bethany Christian School 6304 South Price Road, Tempe, and the other at First Baptist Chandler, 3405 South Arizona Ave, Chandler.  Clases start for this semester the week of 8/27.  



One of the great things about this program is that each semester, we perform 3 times.  Once at the class location, once at a nursing home (this helps the kids give back a little to the community) and once at a public venue, like a mall.  This semester, the performance is entitled ""Happiness Is...""  It is so fun and shares a great message for the kids.  It is about a child's search for happiness and his realization that it can be found all around him.  It teaches contentment in your circumstances.",1,http://hulafrog.com/hulastock/subcat/Default-Image-Classes-Acting.jpg
http://hulafrog.com/chandler-az/ahwatukee-childrens-theatre-phoenix-c2/,Ahwatukee Childrens Theatre,"5051 E. Elliot RoadPhoenix, AZ 85044",Acting,Performing,,,"MON-TUE: 4:00 PM-8:00 PM, WED: 3:30 PM-8:00 PM, THURS: 4:30 PM-8:00PM",,,,480-705-9319,http://www.azact.org/,actregister@yahoo.com,"Ahwatukee Children?s Theatre (ACT) provides local children and adults education in, appreciation for and opportunities to participate in all aspects of the performing arts, as well as offering family-friendly entertainment to the community at large.



",0,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Theaters-and-Concert-Halls.jpg
http://hulafrog.com/chandler-az/camps-4-kids-teens-performing-arts-visual-arts-and-leadership-camps--22/,"Camps 4 Kids & Teens Performing Arts, Visual Arts and Leadership Camps",",Classes:  Acting, Music","Acting, Music",Performing,,,,,,,(480) 659-5980,http://www.camps4kidsandteens.com/,camps4kidsandteens@gmail.com,"Camps 4 Kids and Teens is dedicated to providing quality camps for youth focusing on peforming arts and visual arts. All of our camps are affordable, high quality and a great value for parents and participants alike.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Camps-Performing-Arts.jpg
