URL,Title,Address,Classes,Eats and Treats,Places,Birthdays,Hours,Phone,Website,Mail ID,Facebook Link,Description,Love Rating,Image URL
http://hulafrog.com/chandler-az/chompies-chandler-b4/,Chompies,"3481 West Frye RoadChandler, AZ 85226",,"Bagel, Bakeries, Restaurants",,,MON-SUN: 6:00 AM-9:00 PM,(480) 398-3008,http://www.chompies.com/,CN193@abc.com,,"At Chompie's, Arizona's New York Deli, Restaurant, Bagels, Bakery and Catering since 1979, you'll enjoy the ultimate in East Coast tradition right here in the Valley of the Sun.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bagel-Stores.jpg
http://hulafrog.com/chandler-az/einstein-bagels-chandler-cf/,Einstein Bagels,"2925 South Alma School RoadChandler, AZ 85248",,Bagel,,,"SUN: 6:00 AM-3:00 PM, MON-FRI: 5:30 AM-4:00 PM, SAT: 6:00 AM-4:00 PM",480-899-4449,http://www.einsteinbros.com/,CN188@abc.com,,"Einstein Bros Bagels wrote the book on bagels! But we didn't just stop there; Einstein Bros also boasts some of the best coffee & espresso - famously known as our Darn Good Coffee? - deli sandwiches, breakfast egg sandwiches, lunch catering, and delicious baked snacks and sweets. Watching what you eat? Then you came to the right place! Einstein Bros is rated in the Top 10 Healthiest Fast Food options by Health.com due to our variety of healthy food options less than 400 calories. And don't forget to join the Einstein Bros Bagels Loyalty Club to receive exclusive offers, free coupons, and a free bagel and shmear just for signing up!",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bagel-Stores.jpg
http://hulafrog.com/chandler-az/einstein-bagels-gilbert-a2/,Einstein Bagels,"1447 East Williams Field RoadGilbert, AZ 85295",,Bagel,,,"SUN: 6:00 AM-4:00 PM, MON-FRI: 5:30 AM-6:00 PM, SAT: 6:00 AM-5:00 PM",480-857-0486,http://www.einsteinbros.com/,CN189@abc.com,,"Einstein Bros Bagels wrote the book on bagels! But we didn't just stop there; Einstein Bros also boasts some of the best coffee & espresso - famously known as our Darn Good Coffee? - deli sandwiches, breakfast egg sandwiches, lunch catering, and delicious baked snacks and sweets. Watching what you eat? Then you came to the right place! Einstein Bros is rated in the Top 10 Healthiest Fast Food options by Health.com due to our variety of healthy food options less than 400 calories. And don't forget to join the Einstein Bros Bagels Loyalty Club to receive exclusive offers, free coupons, and a free bagel and shmear just for signing up!",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bagel-Stores.jpg
http://hulafrog.com/chandler-az/einstein-bagels-chandler-5f/,Einstein Bagels,"2560-2Chandler, AZ 85224",,Bagel,,,"SUN: 6:00 AM-3:00 PM, MON-FRI: 5:00 AM-4:00 PM, SAT: 6:00 AM-4:00 PM",(480) 855-5955,http://www.einsteinbros.com/,CN187@abc.com,,"Einstein Bros Bagels wrote the book on bagels! But we didn't just stop there; Einstein Bros also boasts some of the best coffee & espresso - famously known as our Darn Good Coffee? - deli sandwiches, breakfast egg sandwiches, lunch catering, and delicious baked snacks and sweets. Watching what you eat? Then you came to the right place! Einstein Bros is rated in the Top 10 Healthiest Fast Food options by Health.com due to our variety of healthy food options less than 400 calories. And don't forget to join the Einstein Bros Bagels Loyalty Club to receive exclusive offers, free coupons, and a free bagel and shmear just for signing up!",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bagel-Stores.jpg
http://hulafrog.com/chandler-az/ultimate-play-date-scottsdale-c1/,Ultimate Play Date,Outside on the Mall at Scottsdale' Â Âs Civic Center LibraryScottsdale 85255,,,,,,480.312.7050,http://www.scottsdalelibrary.org/ultimateplaydate,,, We will be at this years ULTIMATE PLAY DATE! Come and play some FREE Sportball games with us. ,4,http://hulafrogportal.com/sugar/dev/uploads/thumbnail_1428008011765967922.png
http://hulafrog.com/chandler-az/connect5family-center-of-chandler--c7/,Connect5Family Center of Chandler,"222 East Warner Road, AZ 85255","Arts, Dance, Learning, Music, Sports, Other",,,Party Places,Mon. - Sat.: 9:00 AM - 7:00 PM || Sunday: 12:00 PM - 5:00 PM,480-699-2122,http://www.Connect5FC.com,chandler@connect5fc.com,https://www.facebook.com/Connect5FamilyCentersOfChandler,"Welcome to the neighborhood!  Actually, there'ÂÂre five neighborhoods for you to explore.  Develop the mind and body by stepping through the gates and onto the mats as you begin your journey in Villari'ÂÂs Martial Arts.  Children can run jump, play and learn in Discovery Park.  Families can enjoy a delicious meal in Kicks Cafe.  Register for a Mind and Motion workshop and explore music, dance, fitness, stress management, arts and crafts, and more.  Plan a Spotlight Celebrations for your special event, or celebrate with friends by choosing one of our Adventure Birthday Packages.

We serve as a true center; a hub that brings together family, friends, students, educators, and community.  It'ÂÂs all about connection.  It'ÂÂs about families learning and playing together and friends celebrating each other'ÂÂs special moments.  It'ÂÂs about reinforcing educator'ÂÂs efforts to provide 21st century learning opportunities for students by providing tools and programs that help them succeed at home and in school. You'ÂÂll also see us out in the community supporting local events, groups, and   charities.     
",9,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Other.jpg
http://hulafrog.com/chandler-az/let-s-play-music-with-kendra-flake-mesa-apache-junction-ca/,Let's Play Music with Kendra Flake,"10649 E. Bramble Ave.Mesa, Apache Junction, AZ 85208",Music,,,,"Classes are scheduled at various times Monday - Friday, 9:00 - 6:00. Please see my schedules page.",480-577-7104,http://www.letsplaymusicsite.com,misskendrasmusic@gmail.com,,"Group music lessons for children that emphasize total musicianship through piano playing, singing, classical music, note reading, and ear training. The Mom and Me classes provide excellent music training designed for 2-4 year-olds and their parents. The school-age curriculum is a 3-year program designed for children entering the program at age 4-5. By the time your child graduates from the program at age 7-8, they will have many skills to help them soar in any music lessons of choice. They will be playing the piano with two hands, singing in harmony, and will have the skills to write her/his own music!",2,http://hulafrog.com/hulastock/subcat/Default-Image-Classes-Music.jpg
http://hulafrog.com/chandler-az/bashas-grocery-store-chandler-3a/,Bashas Grocery Store,"4940 South Gilbert RoadChandler, AZ 85249",,Bakeries,,,Weekly: 6:00 AM-11:00 PM,(480) 883-2240,http://www.bashas.com/Locations.aspx?city=Chandler,CN182@abc.com,,"Bashas' is an Arizona-based, family-owned and -operated grocery chain known for made-from-scratch bakery items, a full-service butcher shop, fresh local produce and award-winning Chefs Entrees. 



",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Supermarkets.jpg
http://hulafrog.com/chandler-az/caketini-gilbert-8e/,Caketini,"2270 East Williams Field RoadGilbert, AZ 85295",,"Bakeries, Candy",,,"MON-SAT: 10:00 AM-9:00 PM, SUN: 11:00 AM-6:00 PM",(480) 786-3500,http://caketini.net/,info@caketini.net,,"If you're in the mood for a new sweet treat this holiday season, think outside the box--or in this case-- the pie tin.  A nice alternative to that holiday staple is Caketini's unique cupcakes, gourmet cakes, cheesecakes, and truffles.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bakeries.jpg
http://hulafrog.com/chandler-az/chompies-chandler-b4/,Chompies,"3481 West Frye RoadChandler, AZ 85226",,"Bagel, Bakeries, Restaurants",,,MON-SUN: 6:00 AM-9:00 PM,(480) 398-3008,http://www.chompies.com/,CN193@abc.com,,"At Chompie's, Arizona's New York Deli, Restaurant, Bagels, Bakery and Catering since 1979, you'll enjoy the ultimate in East Coast tradition right here in the Valley of the Sun.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bagel-Stores.jpg
http://hulafrog.com/chandler-az/dunkin-donuts-chandler-56/,Dunkin Donuts,"990 East Riggs RoadChandler, AZ 85249",,Bakeries,,,MON-SUN: 4:00 AM- 6:00 PM,(480) 895-2224,http://www.dunkindonuts.com/,CN190@abc.com,,"Dunkin Donuts offers a wide variety of treats for breakfast, lunch, or dessert.  Grab a cup of Joe on the Go?.they have a drive through window so you can get a cup with the kids in tow.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bakeries.jpg
http://hulafrog.com/chandler-az/dunkin-donuts-chandler-60/,Dunkin Donuts,"2105 South Alma School RaodChandler, AZ 85224",,Bakeries,,,"MON-FRI: 4:00 AM-10:00 PM, SAT: 5:00 AM-10:00 PM, SUN: 6:00 AM-8:00 PM",480-838-1081,http://www.dunkindonuts.com/,CN191@abc.com,,"Dunkin Donuts offers a wide variety of treats for breakfast, lunch, or dessert.  Grab a cup of Joe on the Go?.they have a drive through window so you can get a cup with the kids in tow.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bakeries.jpg
http://hulafrog.com/chandler-az/mrs-fields-chandler-48/,Mrs. Fields,"3111 West Chandler BoulevardChandler, AZ 85226",,Bakeries,,,"MON-SAT: 10:00 AM-9:00 PM, SUN: 11:00 AM-6:00 PM",(480) 812-0164,http://store.mrsfields.com/home/chandlerfashioncenter,CN302@abc.com,,"What's your favorite cookie or brownie? Whether it's our best selling Milk Chocolate Chip or our decadent Peanut Butter Dream Bar, everyone's got a Mrs. Field's favorite. Always baked fresh, and prepared using our top-secret recipes, Mrs. Fields Cookies are the perfect treat any time, and they make great gifts too! ",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bakeries.jpg
http://hulafrog.com/chandler-az/paradise-bakery-chandler-e5/,Paradise Bakery,"1075 West Queen Creek RoadChandler, AZ 85248",,Bakeries,,,"MON-SAT: 6:00 AM-8:00 PM, SUN: 6:00 AM-5:00 PM",480-782-5355,http://www.paradisebakery.com/store_indiv.php?stid=1,CN234@abc.com,,"Everyone loves Paradise! Each Paradise Bakery & Cafe combines a casual, feel-good environment with the freshest, quality ingredients made from scratch for each item on our menu. Stop in today and enjoy our sandwiches, salads, soups, muffins, and--of course--our award winning cookies.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Eats-and-Treats-Bakeries.jpg
