URL,Title,Address,Classes,Other,Places,Birthdays,Hours,Phone,Website,Mail ID,Facebook Link,Description,Love Rating,Image URL
http://hulafrog.com/chandler-az/kiwanis-recreation-center-tempe-fe/,Kiwanis Recreation Center,"6111 S All America WayTempe, AZ 85283","Martial, Sports, Swim","Charitable Organizationsand Non Profits, Other","Parks, Rides","Party Places, Other",,480-350-5740,http://www.tempe.gov/kiwanis,taianna_yee@tempe.gov,,"Kiwanis Recreation Center is a beautiful 54,000 square foot complex featuring  an indoor wave pool and water slide, fitness center, gymnasium, private rentals, and a 15-court tennis center. The facility is located in the 125 acre Kiwanis Park. ",0,http://hulafrogportal.com/sugar/dev/uploads/thumbnail_1435248736640409517.jpg
http://hulafrog.com/chandler-az/asu-gammage-tempe-0a/,ASU Gammage,"1200 S. Forest Ave.Tempe, AZ 85281",,Charitable Organizationsand Non Profits,,,Events and Show Times Vary,480.965.5062,http://www.asugammage.com/,victor.hamburger@asu.edu,,"ASU Gammage (non-profit) is a world-class arts presenting organization, which brings the best of the performing arts to Arizona. As a leader in the arts world, ASU Gammage also produces new works, artist residencies and education programs that foster the great artists of today and empower the artists of tomorrow. ",0,http://hulafrog.com/hulastock/subcat/Default-Image-Recreation-Centers.jpg
http://hulafrog.com/chandler-az/chandler-education-foundation-chandler-e4/,Chandler Education Foundation,"1525 W. Frye RoadChandler, AZ 85224",,Charitable Organizationsand Non Profits,,,8 a.m. - 4 p.m. M - F (Chandler Unified School Schedule - holidays),480-224-3031,http://www.mychandlerschools.org/page/27779,gillett.meg@chandler.k12.az.us,,"The mission of the Chandler Education Foundation is to provide community support for excellence in education and promote life long learning and responsible citizenship for Chandler Unified School District students. 



 

 

Vision

 

 

 

The Chandler Education Foundation is the premier educational partner to the Chandler Unified School District and is committed to raising significant funds to support excellence in education, community service and life-long learning.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Recreation-Centers.jpg
http://hulafrog.com/chandler-az/kiwanis-recreation-center-tempe-fe/,Kiwanis Recreation Center,"6111 S All America WayTempe, AZ 85283","Martial, Sports, Swim","Charitable Organizationsand Non Profits, Other","Parks, Rides","Party Places, Other",,480-350-5740,http://www.tempe.gov/kiwanis,taianna_yee@tempe.gov,,"Kiwanis Recreation Center is a beautiful 54,000 square foot complex featuring  an indoor wave pool and water slide, fitness center, gymnasium, private rentals, and a 15-court tennis center. The facility is located in the 125 acre Kiwanis Park. ",0,http://hulafrogportal.com/sugar/dev/uploads/thumbnail_1435248736640409517.jpg
http://hulafrog.com/chandler-az/the-phoenix-herpetological-society-scottsdale-af/,The Phoenix Herpetological Society,"20701 North Scottsdale RoadScottsdale, AZ 85255",,Charitable Organizationsand Non Profits,Other,,,(480) 513-4377,http://phoenixherp.com/,info@phoenixherp.com,,"Conservation begins with education. Our desert (and our planet) is in serious jeopardy. It is imperative to teach our youth the importance each animal plays in our eco-system. Last year the PHS outreach program touched 109,000 people. These were primarily school-aged children and teenagers.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Recreation-Centers.jpg
http://hulafrog.com/chandler-az/welcome-home-ranch-gilbert-86/,Welcome Home Ranch,"26601 South Val Vista DriveGilbert, AZ 85249",,Charitable Organizationsand Non Profits,,,,480-939-9222,,,,"Welcome Home Ranch was purchased in June of 2012 by the John Volken Foundation, a non-profit organization based out of Vancouver, Canada. The foundation dually supports the Welcome Home Life Skills Academy, which has two other locations in Vancouver and Seattle, and Lift The Children, which supports 92 orphanages in Africa.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Recreation-Centers.jpg
http://hulafrog.com/chandler-az/ultimate-play-date-scottsdale-c1/,Ultimate Play Date,Outside on the Mall at Scottsdale' Â Âs Civic Center LibraryScottsdale 85255,,,,,,480.312.7050,http://www.scottsdalelibrary.org/ultimateplaydate,,, We will be at this years ULTIMATE PLAY DATE! Come and play some FREE Sportball games with us. ,4,http://hulafrogportal.com/sugar/dev/uploads/thumbnail_1428008011765967922.png
http://hulafrog.com/chandler-az/connect5family-center-of-chandler--c7/,Connect5Family Center of Chandler,"222 East Warner Road, AZ 85255","Arts, Dance, Learning, Music, Sports, Other",,,Party Places,Mon. - Sat.: 9:00 AM - 7:00 PM || Sunday: 12:00 PM - 5:00 PM,480-699-2122,http://www.Connect5FC.com,chandler@connect5fc.com,https://www.facebook.com/Connect5FamilyCentersOfChandler,"Welcome to the neighborhood!  Actually, there'ÂÂre five neighborhoods for you to explore.  Develop the mind and body by stepping through the gates and onto the mats as you begin your journey in Villari'ÂÂs Martial Arts.  Children can run jump, play and learn in Discovery Park.  Families can enjoy a delicious meal in Kicks Cafe.  Register for a Mind and Motion workshop and explore music, dance, fitness, stress management, arts and crafts, and more.  Plan a Spotlight Celebrations for your special event, or celebrate with friends by choosing one of our Adventure Birthday Packages.

We serve as a true center; a hub that brings together family, friends, students, educators, and community.  It'ÂÂs all about connection.  It'ÂÂs about families learning and playing together and friends celebrating each other'ÂÂs special moments.  It'ÂÂs about reinforcing educator'ÂÂs efforts to provide 21st century learning opportunities for students by providing tools and programs that help them succeed at home and in school. You'ÂÂll also see us out in the community supporting local events, groups, and   charities.     
",9,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Other.jpg
http://hulafrog.com/chandler-az/let-s-play-music-with-kendra-flake-mesa-apache-junction-ca/,Let's Play Music with Kendra Flake,"10649 E. Bramble Ave.Mesa, Apache Junction, AZ 85208",Music,,,,"Classes are scheduled at various times Monday - Friday, 9:00 - 6:00. Please see my schedules page.",480-577-7104,http://www.letsplaymusicsite.com,misskendrasmusic@gmail.com,,"Group music lessons for children that emphasize total musicianship through piano playing, singing, classical music, note reading, and ear training. The Mom and Me classes provide excellent music training designed for 2-4 year-olds and their parents. The school-age curriculum is a 3-year program designed for children entering the program at age 4-5. By the time your child graduates from the program at age 7-8, they will have many skills to help them soar in any music lessons of choice. They will be playing the piano with two hands, singing in harmony, and will have the skills to write her/his own music!",2,http://hulafrog.com/hulastock/subcat/Default-Image-Classes-Music.jpg
http://hulafrog.com/chandler-az/catalina-state-park-tuscon-a9/,Catalina State Park,"11570 North Oracle RoadTuscon, AZ 85737",,Countyand State Parksand Services,,,DAILY: 8:00 AM-5:00 PM,(520) 628-5798,http://azstateparks.com/Parks/CATA/index.html,shaas@arizonastateparks.gov,,"If you are between ages 6-12, you can become a Junior Ranger at Catalina State Park!  When you visit the park ask for a full Junior Ranger booklet at the Visitor Center, Ranger Station or office. Complete the activities during your visit and then bring it to a Park Ranger for review. When a Park Ranger approves your work you'll be asked to take the Junior Ranger Pledge and get sworn in as our newest Junior Ranger. You'll also be given a Junior Ranger Button. We hope to see you at the park!

",0,http://hulafrog.com/hulastock/subcat/County-Parks-Default.jpg
