URL,Title,Address,Classes,Camps,Places,Birthdays,Hours,Phone,Website,Mail ID,Facebook Link,Description,Love Rating,Image URL
http://hulafrog.com/chandler-az/amf-chandler-lanes-chandler-71/,AMF Chandler Lanes,"1900 North Arizona AvenueChandler, AZ 85224",,,Bowling,Party Places,"MON-TUES: 12:00 PM-12:00 AM, WED: 9:00 AM- 12:00 AM, THURS: 12:00 PM-12:00 AM, FRI: 12:00 PM-1:00 AM, SAT: 10:00 AM-1:00 AM, SUN: 10:00 AM-12:00 AM",480-963-0150,http://www.amf.com/chandlerlanes,chandlerlanes@amf.com,,"No matter your budget, bowling is one of the best entertainment values on the planet. Check out our Special Offers web page and join the eClub for our best deals! They'll get you bowling and keep you coming back again and again. Just grab some friends, head on over and start having fun.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Other.jpg
http://hulafrog.com/chandler-az/amf-mcray-plaza-lanes-chandler-62/,AMF McRay Plaza Lanes,"3825 West Ray RoadChandler, AZ 85226",,,Bowling,Party Places,"MON-TUES: 9:00 AM-2:00 PM, WED: 12:00 PM-4:00 PM, THURS: 9:00 AM-9:00 PM, FRI: 9:00 PM-5:00 PM, SAT: 9:00 AM-7:00 PM",(480) 899-2171,http://www.amf.com/mcrayplazalanes,mcrayplazalanes@amf.com,,AMF McRay Plaza Lanes offers traditional bowling on 32 lanes. Relax in our bar/lounge area while you watch your favorite sports on TV or challenge your friends to some arcade-style games.,0,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Other.jpg
http://hulafrog.com/chandler-az/brunswick-zone-gilbert-gilbert-76/,Brunswick Zone Gilbert,"1160 South Gilbert RoadGilbert, AZ 85296",,,Bowling,Party Places,,(480) 813-2695,http://www.bowlbrunswick.com/about-us/109/1,gm.bz.gilbert@brunbowl.com,,"Brunswick Zone XL is extra large fun. Endless lanes for bowling, a giant game room, lazer tag, billiards, and a super-size lounge to relax with friends or catch the big game. If you want BIG fun, get into the good times at Brunswick Zone XL. 


",0,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Other.jpg
http://hulafrog.com/chandler-az/flipside-gilbert-11/,FlipSide,"4874 South Val VistaGilbert, AZ 85298",,,"Bowling, Indoor",Party Places,,(480) 471-8444,http://www.exploreflipside.com/,nerickson@exploreflipside.com,,"Laser Tag, Bumper Cars, and 28 lanes of Bowling. A comfortable lounge with a cafe where mom or dad can relax before jumping back in to join the fun. Clean, kid-friendly, and HUGE. Want to get out of Boredom Town? FlipSide departs soon for Awesome-opolis!",0,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Other.jpg
http://hulafrog.com/chandler-az/main-event-entertainment-tempe--15/,Main Event Entertainment - Tempe,"8545 S Emerald Dr, AZ 85284",,,Bowling,Party Places,Mon. - Sun.: 12:00 AM - 12:00 AM,(480) 753-1200,http://www.mainevent.com,tamarap@mainevent.com,https://www.facebook.com/maineventtempe,"Main Event offers a unique 'Eat.Bowl.Play.' experience featuring state-of-the-art bowling, multi-level laser tag, thrilling high ropes adventure courses, captivating game rooms featuring the latest video and amusement, stylish billiards, energetic bars and high-quality restaurants. In addition to providing free wi-fi, guests rave about the superior value of activities including happy hour specials, combination deals, and the birthday, private and corporate parties/events. Our 45,000- to 75,000-square-foot family entertainment centers provide plenty of free parking and unrivaled entertainment and dinning experiences, all at a great value. #Eat.Bowl.Play.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Other.jpg
http://hulafrog.com/chandler-az/ultimate-play-date-scottsdale-c1/,Ultimate Play Date,Outside on the Mall at Scottsdale'  s Civic Center LibraryScottsdale 85255,,,,,,480.312.7050,http://www.scottsdalelibrary.org/ultimateplaydate,,, We will be at this years ULTIMATE PLAY DATE! Come and play some FREE Sportball games with us. ,4,http://hulafrogportal.com/sugar/dev/uploads/thumbnail_1428008011765967922.png
http://hulafrog.com/chandler-az/connect5family-center-of-chandler--c7/,Connect5Family Center of Chandler,"222 East Warner Road, AZ 85255","Arts, Dance, Learning, Music, Sports, Other","All, Arts, Dance, Music, Sports, Other",,Party Places,Mon. - Sat.: 9:00 AM - 7:00 PM || Sunday: 12:00 PM - 5:00 PM,480-699-2122,http://www.Connect5FC.com,chandler@connect5fc.com,https://www.facebook.com/Connect5FamilyCentersOfChandler,"Welcome to the neighborhood!  Actually, there're five neighborhoods for you to explore.  Develop the mind and body by stepping through the gates and onto the mats as you begin your journey in Villari's Martial Arts.  Children can run jump, play and learn in Discovery Park.  Families can enjoy a delicious meal in Kicks Cafe.  Register for a Mind and Motion workshop and explore music, dance, fitness, stress management, arts and crafts, and more.  Plan a Spotlight Celebrations for your special event, or celebrate with friends by choosing one of our Adventure Birthday Packages.

We serve as a true center; a hub that brings together family, friends, students, educators, and community.  It's all about connection.  It's about families learning and playing together and friends celebrating each other's special moments.  It's about reinforcing educator's efforts to provide 21st century learning opportunities for students by providing tools and programs that help them succeed at home and in school. You'll also see us out in the community supporting local events, groups, and   charities.     
",9,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Other.jpg
http://hulafrog.com/chandler-az/let-s-play-music-with-kendra-flake-mesa-apache-junction-ca/,Let's Play Music with Kendra Flake,"10649 E. Bramble Ave.Mesa, Apache Junction, AZ 85208",Music,,,,"Classes are scheduled at various times Monday - Friday, 9:00 - 6:00. Please see my schedules page.",480-577-7104,http://www.letsplaymusicsite.com,misskendrasmusic@gmail.com,,"Group music lessons for children that emphasize total musicianship through piano playing, singing, classical music, note reading, and ear training. The Mom and Me classes provide excellent music training designed for 2-4 year-olds and their parents. The school-age curriculum is a 3-year program designed for children entering the program at age 4-5. By the time your child graduates from the program at age 7-8, they will have many skills to help them soar in any music lessons of choice. They will be playing the piano with two hands, singing in harmony, and will have the skills to write her/his own music!",2,http://hulafrog.com/hulastock/subcat/Default-Image-Classes-Music.jpg
http://hulafrog.com/chandler-az/ldvinci-art-studio-chandler-65/,LDVinci Art Studio,"3355 West Chandler BoulevardChandler, AZ 85226","Arts, Dance, Music","Arts, Dance, Music",Drop,Party Places,"MON-FRI: 9:15 AM-8:00 PM, SAT 9:15 AM-5:00 PM",(480) 726-7382,http://www.ldvinci.net/index.php,info@ldvinci.com,,"Our creative space is an original art studio offering painting, dance and music lessons for kids and adults in one inspiring location. The mission of our studio is to provide students with a high quality painting, dance and music education. LDVinci's open studio craft time is a unique opportunity for parents to participate with their child in an artistic environment.",1,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Other.jpg
http://hulafrog.com/chandler-az/sundust-gallery--51/,SunDust Gallery,"207 East Williams Field Road #102, AZ 85295",Arts,,Drop,,Mon. - Sat.: 10:00 AM - 6:00 PM || Sunday: 11:00 AM - 6:00 PM,480-464-6077,http://www.sundustgallery.com,info@sundustgallery.com,https://www.facebook.com/SunDustGallery?fref=ts,"SunDust Gallery offers an award winning Private and Semi Private art lessons in various types of art forms, a drop in and paint studio for families, Adult Sip & Paint BYOB classes, Private Paint Parties, Kids Birthday Paint Parties, Team Building & Fund Raising parties. Local artwork for sale.",1,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Drop-In-Art-Studios.jpg
