URL,Title,Address,Classes,Shopping,Places,Birthdays,Hours,Phone,Website,Mail ID,Facebook Link,Description,Love Rating,Image URL
http://hulafrog.com/chandler-az/mytime-calendars-mesa-54/,MyTime Calendars,"...Mesa, AZ 85213",Learning,"Arts, Toy, Other",,,,480-203-9572,http://www.mytimecalendars.com,Info@mytimecalendars.com,,"We provide printable  interactive and customizable calendars and chore charts for Kindergartners, Pre-Schoolers, and Special Needs Children using our custom clipart and even your own uploaded images! We also provide coloring activities, flash cards, ebooks, lesson plans and a family friendly blog for parents. Our goal is to help children understand time better...teaching them to play with time to have time to play!",1,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Arts-and-Crafts-Supplies.jpg
http://hulafrog.com/chandler-az/joann-fabric-and-craft-store-gilbert-68/,Joann Fabric and Craft Store,"2753 South Market StreetGilbert, AZ 85295",,Arts,,,"MON-SAT: 9:00 AM-9:00 PM, SUN: 10:00 AM-7:00 PM",480-722-1510,http://www.joann.com/,CN266@abc.com,,First in Fabric and the Best Craft Choices ? these words express the core of what makes Jo-Ann Fabric and Craft Stores? so exciting. ,0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Arts-and-Crafts-Supplies.jpg
http://hulafrog.com/chandler-az/lakeshore-learning-phoenix-2a/,Lakeshore Learning,"4819 E. Ray RoadPhoenix, AZ 85044",Arts,"Arts, Toy, Other",,,"MON-SAT 9:00 AM-9:00 PM, SUN 11:00 AM-6:00 PM.",480-940-7700,http://www.lakeshorelearning.com,mdavis@lakeshorelearning.com,,Learning materials for children.  Weekly children's craft activity offered.,0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Arts-and-Crafts-Supplies.jpg
http://hulafrog.com/chandler-az/michaels-gilbert-db/,Michaels,"3771 S Gilbert RdGilbert, AZ 85296",,Arts,,,,480-857-6666,http://locations.michaels.com/AZ/GILBERT/5701/index.html?utm_source=Michaels&utm_medium=website&utm_campaign=Michaels%2BLocator,CN2013@abc.com,,Craft Store,0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Arts-and-Crafts-Supplies.jpg
http://hulafrog.com/chandler-az/michaels-chandler-22/,Michaels,"285 N Federal StChandler, AZ 85226",,Arts,,,"MON-SAT: 9:00 AM-9:00 PM, SUN: 10:00 AM-7:00 PM",480-782-0333,http://locations.michaels.com/AZ/CHANDLER/9972/index.html,CN123@abc.com,,"Calling all kids!  Come explore, create, and learn in a kids craft classes.  ",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Arts-and-Crafts-Supplies.jpg
http://hulafrog.com/chandler-az/ultimate-play-date-scottsdale-c1/,Ultimate Play Date,Outside on the Mall at Scottsdale' Â Âs Civic Center LibraryScottsdale 85255,,,,,,480.312.7050,http://www.scottsdalelibrary.org/ultimateplaydate,,, We will be at this years ULTIMATE PLAY DATE! Come and play some FREE Sportball games with us. ,4,http://hulafrogportal.com/sugar/dev/uploads/thumbnail_1428008011765967922.png
http://hulafrog.com/chandler-az/connect5family-center-of-chandler--c7/,Connect5Family Center of Chandler,"222 East Warner Road, AZ 85255","Arts, Dance, Learning, Music, Sports, Other",,,Party Places,Mon. - Sat.: 9:00 AM - 7:00 PM || Sunday: 12:00 PM - 5:00 PM,480-699-2122,http://www.Connect5FC.com,chandler@connect5fc.com,https://www.facebook.com/Connect5FamilyCentersOfChandler,"Welcome to the neighborhood!  Actually, there'ÂÂre five neighborhoods for you to explore.  Develop the mind and body by stepping through the gates and onto the mats as you begin your journey in Villari'ÂÂs Martial Arts.  Children can run jump, play and learn in Discovery Park.  Families can enjoy a delicious meal in Kicks Cafe.  Register for a Mind and Motion workshop and explore music, dance, fitness, stress management, arts and crafts, and more.  Plan a Spotlight Celebrations for your special event, or celebrate with friends by choosing one of our Adventure Birthday Packages.

We serve as a true center; a hub that brings together family, friends, students, educators, and community.  It'ÂÂs all about connection.  It'ÂÂs about families learning and playing together and friends celebrating each other'ÂÂs special moments.  It'ÂÂs about reinforcing educator'ÂÂs efforts to provide 21st century learning opportunities for students by providing tools and programs that help them succeed at home and in school. You'ÂÂll also see us out in the community supporting local events, groups, and   charities.     
",9,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Other.jpg
http://hulafrog.com/chandler-az/let-s-play-music-with-kendra-flake-mesa-apache-junction-ca/,Let's Play Music with Kendra Flake,"10649 E. Bramble Ave.Mesa, Apache Junction, AZ 85208",Music,,,,"Classes are scheduled at various times Monday - Friday, 9:00 - 6:00. Please see my schedules page.",480-577-7104,http://www.letsplaymusicsite.com,misskendrasmusic@gmail.com,,"Group music lessons for children that emphasize total musicianship through piano playing, singing, classical music, note reading, and ear training. The Mom and Me classes provide excellent music training designed for 2-4 year-olds and their parents. The school-age curriculum is a 3-year program designed for children entering the program at age 4-5. By the time your child graduates from the program at age 7-8, they will have many skills to help them soar in any music lessons of choice. They will be playing the piano with two hands, singing in harmony, and will have the skills to write her/his own music!",2,http://hulafrog.com/hulastock/subcat/Default-Image-Classes-Music.jpg
http://hulafrog.com/chandler-az/zoolikins-chandler-bc/,Zoolikins,"51 E. Boston St.Chandler, AZ 85225","Learning, Other","Baby, Kids Clothing, Other",,,Monday-Saturday 10a-5pm,480-664-8641,http://www.zoolikins.com,instruction@zoolikins.com,,"Zoolikins is a mother-owned and operated boutique focusing on safe, creative, natural products for baby and beyond. Known for our educational outreach when it comes to cloth diapering, we offer more than just cloth diapers. By partnering with other local businesses, we are able to offer classes and events in babywearing, infant massage, baby sign, car seat and child safety and much more!  Shop online at any time or come by our beautiful either of our retail stores in Arizona, Old Town Scottsdale, and our new Downtown Chandler location.",1,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Baby-Gear.jpg
http://hulafrog.com/chandler-az/baby-town-gilbert-e0/,Baby Town,"3787 S Gilbert RdGilbert, AZ 85297",,"Baby, Department, Kids Furniture",,,,480-535-8688,http://www.babytown.com/,Ocean @babytown.com,,"Baby Town is the largest privately owned baby store in the United States welcoming all moms & dads, bumps & babies, and nannies & grannies. We'll have all the essential products to keep baby happy, and you'll find unique and useful gadgets to make the parents' lives easier to manage too.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Baby-Gear.jpg
http://hulafrog.com/chandler-az/modern-mommy-boutique-chandler-fe/,Modern Mommy Boutique,"3355 West Chandler BoulevardChandler, AZ 85226",,Baby,,,,(480) 857-7187,http://www.modernmommyboutique.com/,talisha@modernmommyboutique.com,,"We have a huge selection of slings and baby carriers, unique stylish diapers, and award winning toys.  Breastfeeding classes on location.  Call for details.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Baby-Gear.jpg
http://hulafrog.com/chandler-az/pottery-barn-kids-chandler-a9/,Pottery Barn Kids,"3111 West Chandler BoulevardChandler, AZ 85226",,"Baby, Kids Clothing, Kids Furniture, Toy",,,"MON-SAT: 10:00 AM-9:00 PM, SUN: 11:00 AM-6:00 PM",480-899-7155,http://www.potterybarnkids.com/,chandlerpbk@gmail.com,,"Pottery Barn Kids provides casual furnishings and textiles designed to delight and inspire the imagination. Each of our collections has inherited Pottery Barn's comfortable, well-designed aesthetic and has been expertly crafted from the finest materials with a careful regard for child safety standards.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Baby-Gear.jpg
http://hulafrog.com/chandler-az/ultimate-play-date-scottsdale-c1/,Ultimate Play Date,Outside on the Mall at Scottsdale' Â Âs Civic Center LibraryScottsdale 85255,,,,,,480.312.7050,http://www.scottsdalelibrary.org/ultimateplaydate,,, We will be at this years ULTIMATE PLAY DATE! Come and play some FREE Sportball games with us. ,4,http://hulafrogportal.com/sugar/dev/uploads/thumbnail_1428008011765967922.png
http://hulafrog.com/chandler-az/connect5family-center-of-chandler--c7/,Connect5Family Center of Chandler,"222 East Warner Road, AZ 85255","Arts, Dance, Learning, Music, Sports, Other",,,Party Places,Mon. - Sat.: 9:00 AM - 7:00 PM || Sunday: 12:00 PM - 5:00 PM,480-699-2122,http://www.Connect5FC.com,chandler@connect5fc.com,https://www.facebook.com/Connect5FamilyCentersOfChandler,"Welcome to the neighborhood!  Actually, there'ÂÂre five neighborhoods for you to explore.  Develop the mind and body by stepping through the gates and onto the mats as you begin your journey in Villari'ÂÂs Martial Arts.  Children can run jump, play and learn in Discovery Park.  Families can enjoy a delicious meal in Kicks Cafe.  Register for a Mind and Motion workshop and explore music, dance, fitness, stress management, arts and crafts, and more.  Plan a Spotlight Celebrations for your special event, or celebrate with friends by choosing one of our Adventure Birthday Packages.

We serve as a true center; a hub that brings together family, friends, students, educators, and community.  It'ÂÂs all about connection.  It'ÂÂs about families learning and playing together and friends celebrating each other'ÂÂs special moments.  It'ÂÂs about reinforcing educator'ÂÂs efforts to provide 21st century learning opportunities for students by providing tools and programs that help them succeed at home and in school. You'ÂÂll also see us out in the community supporting local events, groups, and   charities.     
",9,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Other.jpg
http://hulafrog.com/chandler-az/let-s-play-music-with-kendra-flake-mesa-apache-junction-ca/,Let's Play Music with Kendra Flake,"10649 E. Bramble Ave.Mesa, Apache Junction, AZ 85208",Music,,,,"Classes are scheduled at various times Monday - Friday, 9:00 - 6:00. Please see my schedules page.",480-577-7104,http://www.letsplaymusicsite.com,misskendrasmusic@gmail.com,,"Group music lessons for children that emphasize total musicianship through piano playing, singing, classical music, note reading, and ear training. The Mom and Me classes provide excellent music training designed for 2-4 year-olds and their parents. The school-age curriculum is a 3-year program designed for children entering the program at age 4-5. By the time your child graduates from the program at age 7-8, they will have many skills to help them soar in any music lessons of choice. They will be playing the piano with two hands, singing in harmony, and will have the skills to write her/his own music!",2,http://hulafrog.com/hulastock/subcat/Default-Image-Classes-Music.jpg
http://hulafrog.com/chandler-az/baby-town-gilbert-e0/,Baby Town,"3787 S Gilbert RdGilbert, AZ 85297",,"Baby, Department, Kids Furniture",,,,480-535-8688,http://www.babytown.com/,Ocean @babytown.com,,"Baby Town is the largest privately owned baby store in the United States welcoming all moms & dads, bumps & babies, and nannies & grannies. We'll have all the essential products to keep baby happy, and you'll find unique and useful gadgets to make the parents' lives easier to manage too.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Baby-Gear.jpg
http://hulafrog.com/chandler-az/casa-paloma-shopping-center-chandler-2d/,Casa Paloma Shopping Center,"7131 West Ray RoadChandler, AZ 85226",,Department,,,"MON-SAT: 10:00 AM-7:00 PM, SUN: 12:00 PM-5:00 PM",(480) 777-2272,http://www.shopcasapaloma.com/,info@shopcasapaloma.com,,"Casa Paloma, an open-air specialty retail center, featuring Mediterranean style architecture, lush landscaping and dynamic courtyards, is located along one of the Valley's most prominent retail corridors at 56th Street and Ray Road, easily accessible from the I-10 freeway.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Department-Stores-Mall.jpg
http://hulafrog.com/chandler-az/chandler-fashion-center-chandler-7d/,Chandler Fashion Center,"3111 West Chandler BoulevardChandler, AZ 85226",,Department,,,"MON-SAT: 10:00 AM-9:00 PM, SUN: 11:00 AM-6:00 PM",(480) 812-0152,http://www.shopchandlerfashioncenter.com/,jennifer.olson@macerich.com,,"Oh the places you'll go at Chandler Fashion Center.  Whether it's dinner and a movie on Friday night in The Village or a day of retail therapy indoors at a shopping destination with stars in every category.  Great names are everywhere here:  From Apple and Abercrombie to Coach, Coldwater Creek, Gap, J.Crew, J.Jill, Justice, Lucky Brand and so much more.  Four terrific department stores ? Dillard's, Macy's, Nordstrom and Sears ? answer every need.  To top it all off, gorgeous fountains entertain with dazzling displays of water, light and music.  Can you tell we love it here?! 

Fashion Fixation

It's why you love to come here. The newest styles, exciting brands ? and it's all fresh all the time. Every visit is a chance to re-invent your look or maybe just discover your next favorite thing. 



See All Shopping 

Delicious Food

Fuel your shopping spirit with a relaxed moment for lunch, an uplifting coffee or another favorite treat (we won't tell!). Delicious food makes great shopping even tastier.



See All Dining 

A Great Escape

Slip away from the everyday. Take time for yourself to relax and recharge. Our inviting spaces and wonderful stores always refresh with new possibilities.



See Visitor Information",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Department-Stores-Mall.jpg
http://hulafrog.com/chandler-az/crossroadstownecenters-gilbert-b8/,CrossRoadsTowneCenters,"Gilbert & Germann RoadsGilbert, AZ 85297",,Department,,,, 602-553-2664,http://www.shopcrossroadstc.com/,kdaskas@vestar.com,,,0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Department-Stores-Mall.jpg
http://hulafrog.com/chandler-az/dillards-chandler-f6/,Dillards,"3101 West Chandler BoulevardChandler, AZ 85226",,Department,,,"MON-SAT: 10:00 AM-9:00 PM, SUN: 11:00 AM-6:00 PM",(480) 735-2060,http://www.dillards.com/,CN299@abc.com,,"Dillards has clothing, accessories for men, women, children, and infants.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Department-Stores-Mall.jpg
http://hulafrog.com/chandler-az/dillards-gilbert-81/,Dillards,"2151 South San Tan Willage ParkwayGilbert, AZ 85296",,Department,,,"MON-SAT: 10:00 AM-9:00 PM, SUN: 11:00 AM-6:00 PM",480-726-1512,http://www.dillards.com/,CN310@abc.com,,"Dillards has clothing, accessories for men, women, children, and infants.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Department-Stores-Mall.jpg
http://hulafrog.com/chandler-az/disney-store-chandler-1c/,Disney Store,"3111 West Chandler BoulevardChandler, AZ 85226",,"Department, Kids Clothing, Toy",,,"MON-SAT: 10:00 AM-9:00 PM, SUN: 11:00 AM-6:00 PM",480-812-1661,http://www.disneystore.com/in-store-special-events/mn/1001271/,CN276@abc.com,,Everything Disney from costumes to gadgets.,0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Department-Stores-Mall.jpg
http://hulafrog.com/chandler-az/jc-penny-chandler-c4/,JC Penny,"2180 South Gilbert RoadChandler, AZ 85286",,Department,,,"MON-SAT: 10:00 AM-9:00 PM, SUN: 11:00 AM-6:00 PM",(480) 281-4637,http://www.jcpenney.com/jcp/default.aspx?&cm_mmc=Google-_-G_JCP_Official_Site_Exact-_-G_JCP_EXACT_EC-_-jc%20penny,CN313@abc.com,,"JC Penny offers clothing, shoes, and accessories for men, women, and children. The have a portrait studio, salon, and Sephora inside as well.
",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Department-Stores-Mall.jpg
http://hulafrog.com/chandler-az/kohl-s--c6/,Kohl's,",Shopping:  Department",,Department,,,,(480) 782-5865,http://www.kohls.com/,cn286@abc.com,,"Family department store featuring clothing, toys, home d_cor and much, much more.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Department-Stores-Mall.jpg
http://hulafrog.com/chandler-az/macy-s-chandler-32/,Macy's,"3107 West Chandler BoulevardChandler, AZ 85226",,Department,,,,480-821-8611,http://www.macys.com/,CN288@abc.com,,"Macy's is a retail department store that offers clothing and accessories for babies, children, and adults as well as items for the home.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Department-Stores-Mall.jpg
http://hulafrog.com/chandler-az/macy-s-gilbert-0f/,Macy's,"2190 East Williams Field RoadGilbert, AZ 85295",,Department,,,,480-792-6333,http://www.macys.com/,CN289@abc.com,,"Macy's is a retail department store that offers clothing and accessories for babies, children, and adults as well as items for the home.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Department-Stores-Mall.jpg
http://hulafrog.com/chandler-az/nordstrom-chandler-38/,Nordstrom,"3199 West Chandler BoulevardChandler, AZ 85226",,Department,,,"MON-SAT: 10:00 AM-9:00 PM, SUN: 11:00 AM-6:00 PM",(480) 855-2500,http://shop.nordstrom.com/,CN311@abc.com,,"Norstrom has a large selection of clothing, shoes, and accessories for men, women, and children.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Department-Stores-Mall.jpg
http://hulafrog.com/chandler-az/san-tan-village-mall-gilbert-4f/,San Tan Village Mall,"2218 East Williams Field RoadGilbert, AZ 85295",,Department,,,"MON-SAT: 10:00 AM-9:00 PM, SUN: 11:00 AM-6:00 PM",(480) 282-9500,http://www.shopsantanvillage.com/,Melissa.Buxton@macerich.com,,"Experience a fresh and inviting Arizona shopping destination that opens its doors to warm sunshine and cool shade, all year long.  Major retailers Best Buy, Dick's Sporting  Goods, Dillard's and Macy's are top attractions at SanTan Village, alongside a terrific list of specialty stores like Apple,  Barnes & Noble, Charming Charlie, Coach, Coldwater Creek, Forever 21, Gymboree, lucy,  Sephora, White House Black Market and so many more great names.  SanTan is also a magnet for cravable restaurants including Blue Wasabi Sushi & Martini Bar, Kona Grill, The Keg Steakhouse and more ? that all make dinner and a movie fabulously fun. 

Fashion Fixation

It's why you love to come here. The newest styles, exciting brands ? and it's all fresh all the time. Every visit is a chance to re-invent your look or maybe just discover your next favorite thing. 



See All Shopping 

Delicious Food

Fuel your shopping spirit with a relaxed moment for lunch, an uplifting coffee or another favorite treat (we won't tell!). Delicious food makes great shopping even tastier.



See All Dining 

A Great Escape

Slip away from the everyday. Take time for yourself to relax and recharge. Our inviting spaces and wonderful stores always refresh with new possibilities.



See Visitor Information",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Department-Stores-Mall.jpg
http://hulafrog.com/chandler-az/sears-chandler-e3/,Sears,"3177 Chandler Village DriveChandler, AZ 85226",,Department,,,"MON-SAT: 10:00 AM-9:00 PM, SUN: 11:00 AM-6:00 PM",(480) 855-2500,http://www.sears.com/,CN312@abc.com,,"Sears has clothing, accessories and shoes for men, women, and children.  They have an appliance and electronics section at this location as well.  ",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Department-Stores-Mall.jpg
http://hulafrog.com/chandler-az/the-promenade-at-fulton-ranch-chandler-93/,The Promenade at Fulton Ranch,"South Alma School and Chandler HeightsChandler, AZ 85248",,Department,,,"MON-SAT: 10:00 AM-8:00 PM, SUN: 12:00 PM-5:00 PM",480-556-7748,http://www.promenadeatfultonranch.com/,swhitlow@reddevelopment.com,,"The Promenade at Fulton Ranch is an outdoor lifestyle center featuring a wide range of convenient services, locally-owned restaurants and specialty stores. The shopping center offers a pleasant and welcoming environment with wide covered walkways, attractive architecture and ample parking. The shopping center is located at the northeast corner of Chandler Heights Road and Alma School Road. ",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Department-Stores-Mall.jpg
http://hulafrog.com/chandler-az/williams-sonoma-chandler-59/,Williams Sonoma,"311 West Chandler BoulevardChandler, AZ 85226",,"Department, Other",,,,480-899-0868,http://www.williams-sonoma.com/?cm_type=gnav,bbarry@stores.williams-sonoma.com,,"We offer high-quality, stylish products for every room in the house: from the kitchen to the living room, bedroom, home office and even the hall closet.

We have great kids cooking events too!",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Department-Stores-Mall.jpg
http://hulafrog.com/chandler-az/ultimate-play-date-scottsdale-c1/,Ultimate Play Date,Outside on the Mall at Scottsdale' Â Âs Civic Center LibraryScottsdale 85255,,,,,,480.312.7050,http://www.scottsdalelibrary.org/ultimateplaydate,,, We will be at this years ULTIMATE PLAY DATE! Come and play some FREE Sportball games with us. ,4,http://hulafrogportal.com/sugar/dev/uploads/thumbnail_1428008011765967922.png
http://hulafrog.com/chandler-az/connect5family-center-of-chandler--c7/,Connect5Family Center of Chandler,"222 East Warner Road, AZ 85255","Arts, Dance, Learning, Music, Sports, Other",,,Party Places,Mon. - Sat.: 9:00 AM - 7:00 PM || Sunday: 12:00 PM - 5:00 PM,480-699-2122,http://www.Connect5FC.com,chandler@connect5fc.com,https://www.facebook.com/Connect5FamilyCentersOfChandler,"Welcome to the neighborhood!  Actually, there'ÂÂre five neighborhoods for you to explore.  Develop the mind and body by stepping through the gates and onto the mats as you begin your journey in Villari'ÂÂs Martial Arts.  Children can run jump, play and learn in Discovery Park.  Families can enjoy a delicious meal in Kicks Cafe.  Register for a Mind and Motion workshop and explore music, dance, fitness, stress management, arts and crafts, and more.  Plan a Spotlight Celebrations for your special event, or celebrate with friends by choosing one of our Adventure Birthday Packages.

We serve as a true center; a hub that brings together family, friends, students, educators, and community.  It'ÂÂs all about connection.  It'ÂÂs about families learning and playing together and friends celebrating each other'ÂÂs special moments.  It'ÂÂs about reinforcing educator'ÂÂs efforts to provide 21st century learning opportunities for students by providing tools and programs that help them succeed at home and in school. You'ÂÂll also see us out in the community supporting local events, groups, and   charities.     
",9,http://hulafrog.com/hulastock/subcat/Default-Image-Places-Other.jpg
http://hulafrog.com/chandler-az/let-s-play-music-with-kendra-flake-mesa-apache-junction-ca/,Let's Play Music with Kendra Flake,"10649 E. Bramble Ave.Mesa, Apache Junction, AZ 85208",Music,,,,"Classes are scheduled at various times Monday - Friday, 9:00 - 6:00. Please see my schedules page.",480-577-7104,http://www.letsplaymusicsite.com,misskendrasmusic@gmail.com,,"Group music lessons for children that emphasize total musicianship through piano playing, singing, classical music, note reading, and ear training. The Mom and Me classes provide excellent music training designed for 2-4 year-olds and their parents. The school-age curriculum is a 3-year program designed for children entering the program at age 4-5. By the time your child graduates from the program at age 7-8, they will have many skills to help them soar in any music lessons of choice. They will be playing the piano with two hands, singing in harmony, and will have the skills to write her/his own music!",2,http://hulafrog.com/hulastock/subcat/Default-Image-Classes-Music.jpg
http://hulafrog.com/chandler-az/ikea-tempe-db/,IKEA,"2110 W. IKEA WayTempe, AZ 85284",,"Discount, Kids Furniture",,,,480-496-5658,http://www.ikea.com/us/en/store/tempe/storeInfo,CN610@abc.com,,"Furniture and textiles, appliances, and more.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Discount-Retail-Stores.jpg
http://hulafrog.com/chandler-az/kohl-s-gilbert-e8/,Kohl's,"1497 East Williams Field RoadGilbert, Az 85296",,Discount,,,"MON-FRI: 8:00 AM-10:00 PM, FRI: 8:00 AM-11:00 PM, SAT: 7:00 AM-11:00 PM, SUN: 9:00 AM-9:00 PM",480-855-8823,http://www.kohls.com/,CN287@abc.com,,"Family department store featuring clothing, toys, home d?cor and much, much more.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Discount-Retail-Stores.jpg
http://hulafrog.com/chandler-az/kohl-s-chandler-b9/,Kohl's,"1430 South Arizona AvenueChandler, AZ 85296",,Discount,,,"MON-FRI: 8:00 AM-10:00 PM, FRI: 8:00 AM-11:00 PM, SAT: 7:00 AM-11:00 PM, SUN: 9:00 AM-9:00 PM",480-782-5865,http://www.kohls.com/,CN286@abc.com,,"Family department store featuring clothing, toys, home d?cor and much, much more.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Discount-Retail-Stores.jpg
http://hulafrog.com/chandler-az/nordstrom-rack-chandler-53/,Nordstrom Rack,"2620 West Chandler BoulevardChandler, AZ 85224",,Discount,,,"MON-SAT: 9:30 AM-9:00 PM, SUN: 10:00 AM-7:00 PM",(480) 722-2000,http://shop.nordstrom.com/st/nordstrom-rack-chandler-festival,CN285@abc.com,,"Nordstrom Rack offers a wide selection of apparel, accessories and shoes from 
our Nordstrom stores and Nordstrom.com at reduced prices.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Discount-Retail-Stores.jpg
http://hulafrog.com/chandler-az/ross-gilbert-1e/,Ross,"1475 East Warner RoadGilbert, AZ 85296",,Discount,,,"SUN: 10:00 AM-9:30 PM, MON-SAT: 9:30 AM-9:30 PM",480-558-4301,http://www.rossstores.com/,CN298@abc.com,,"Name brands for less.  Home goods, clothing and accessories.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Discount-Retail-Stores.jpg
http://hulafrog.com/chandler-az/ross-gilbert-e8/,Ross,"3831 South Gilbert RoadGilbert, AZ 85297",,Discount,,,"SUN: 10:00 AM-9:30 PM, MON-SAT: 9:30 AM-9:30 PM",480-855-8544,http://www.rossstores.com/,CN296@abc.com,,"Name brands for less.  Home goods, clothing and accessories.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Discount-Retail-Stores.jpg
http://hulafrog.com/chandler-az/ross-chandler-05/,Ross,"2720 West Chandler BoulevardChandler, AZ 85286",,Discount,,,"SUN: 10:00 AM-9:30 PM, MON-SAT: 9:30 AM-9:30 PM",480-726-6722,http://www.rossstores.com/,CN297@abc.com,,"Name brands for less.  Home goods, clothing and accessories.",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Discount-Retail-Stores.jpg
http://hulafrog.com/chandler-az/target-chandler-2e/,Target,"3425 West Frye RoadChandler, AZ 85226",,Discount,,,"MON-FRI: 8:00 AM-10:00 PM, SAT: 8:00 AM-10:00 PM, SUN: 8:00 AM-9:00 PM",480-281-0007,http://sites.target.com/site/en/spot/page.jsp?title=store_locator_new,CN293@abc.com,,"This location offers fresh groceries, flu shots, and pharmacy too!",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Discount-Retail-Stores.jpg
http://hulafrog.com/chandler-az/target-gilbert-9f/,Target,"1515 East Warner RoadGilbert, AZ 85296",,Discount,,,"MON-FRI: 8:00 AM-10:00 PM, SAT: 8:00 AM-10:00 PM, SUN: 8:00 AM-9:00 PM",480-892-2282,http://sites.target.com/site/en/spot/page.jsp?title=store_locator_new,CN292@abc.com,,"This location offers fresh groceries, flu shots, and a pharmacy,  too!",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Discount-Retail-Stores.jpg
http://hulafrog.com/chandler-az/target-gilbert-18/,Target,"3931 South Gilbert RoadGilbert, AZ 85297",,Discount,,,"MON-FRI: 8:00 AM-10:00 PM, SAT: 8:00 AM-10:00 PM, SUN: 8:00 AM-9:00 PM",480-281-0201,http://sites.target.com/site/en/spot/page.jsp?title=store_locator_new,CN291@abc.com,,"This location offers fresh groceries, flu shots, pharmacy, photo center, and Starbucks too!",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Discount-Retail-Stores.jpg
http://hulafrog.com/chandler-az/target-chandler-24/,Target,"3777 South Arizona AvenueChandler, AZ 85248",,Discount,,,"MON-FRI: 8:00 AM-10:00 PM, SAT: 8:00 AM-10:00 PM, SUN: 8:00 AM-9:00 PM",480-612-6101,http://sites.target.com/site/en/spot/page.jsp?title=store_locator_new,CN290@abc.com,,"This location offers fresh groceries, flu shots, pharmacy, and Starbucks too!",0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Discount-Retail-Stores.jpg
http://hulafrog.com/chandler-az/target-chandler-81/,Target,"2150 North Arizona AvenueChandler, AZ 85225",,Discount,,,"MON-FRI: 8:00 AM-10:00 PM, SAT: 8:00 AM-10:00 PM, SUN: 8:00 AM-9:00 PM",480-899-7986,http://sites.target.com/site/en/spot/page.jsp?title=store_locator_new,CN294@abc.com,,This location offers flu shots and a  pharmacy too!,0,http://hulafrog.com/hulastock/subcat/Default-Image-Shopping-Discount-Retail-Stores.jpg
