SholarShip_Page URL,Scholarship URL,Scholarship,School URL,School Name,Deadline,Amount,SAT,GPA,Majors,Website,Description
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/410050ED-D0A3-71D4-5C3991FB22BAEE1D,Accounting & Finance Scholarship,http://www.scholarshipmonkey.com/school/202222,Columbus State Community College,August 1st,$750.00,,3,Accounting/Finance,http://www.cscc.edu,Scholarship for undergraduate students enrolled full-time at Columbus State Community College majoring in Accounting or Finance.  Students must have a minimum 3.0 CGPA and completed a minimum of 36 credit hours.  A personal statement and essay must be included with application packet.
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/410050EC-B6C6-67C3-3C5D491D2AE37220,Accounting & Finance Club Scholarship,http://www.scholarshipmonkey.com/school/179557,Southeast Missouri State University,April 15th,Varies,,,Accounting/Finance,http://www.semo.edu,"Annual award for undergraduate student attending Southeast Missouri State University, majoring in Accounting.  Applicants must be Accounting and Finance Club members.  Number of awards and award amount varies."
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/410082BC-CD17-0F59-80426CB2C0849081,Corwin & Carolyn Bootsma Accounting & Finance Scholarship,http://www.scholarshipmonkey.com/school/153603,Iowa State University,Varies,Varies,,,"Accounting/Finance, Business",http://www.iastate.edu,"Scholarship for undergraduate students enrolled full-time at Iowa State University College of Business majoring in Accounting or Finance.  Preference given to students who are not receiving grants, scholarships, or other financial help.  Deadlines and award amounts may vary."
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/410056DF-E850-41A4-DB606008BC7C39E0,ALPFA Scholarship,http://www.scholarshipmonkey.com/school/236595,Seattle University,April 15th,"$5,000.00",,,Accounting/Finance,http://www.seattleu.edu,"Scholarship for latino undergraduate students attending Seattle University full-time, majoring in Accounting, Finance, IT or a related field.  Number of awards varies."
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/4100C7DA-06BB-0927-B5A4F051BD8A909E,Internal Audit Program-Applebees International Scholarship,http://www.scholarshipmonkey.com/school/155681,Pittsburg State University,February 1st,Varies,,,"Accounting/Finance, Advertising/Marketing",http://www.pittstate.edu,"Scholarship for undergraduate students attending Pittsburg State University in Kansas, majoring in Accounting, Finance or Marketing.  Number of awards and award amount varies."
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/410073D0-0008-8D83-B6F90478CC6F5C64,CBA Scholarship,http://www.scholarshipmonkey.com/school/133951,Florida International University,April 16th,"$2,000.00",,3,Accounting/Finance,http://www.fiu.edu,"Scholarship for graduate students enrolled full-time at Florida International University majoring in Accounting, Finance, or Management.  Students must have a minimum 3.0 GPA.  Number of awards may vary.  A resume and an essay must be included with application packet."
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/410056DE-09D8-4F3B-2B1C5DAFC1F05088,ALPFA Scholarship Program,http://www.scholarshipmonkey.com/school/,,March 31th,"$5,000.00",,3,Accounting/Finance,http://www.alpfa.org,"Scholarship for full-time Hispanic/Latino undergraduate and graduate students who are majoring in Accounting, Finance, or Information Technology.  Applicants must be U.S. citizen/permanent resident and have a minimum 3.0 GPA.  Students must apply online.  Number of awards may vary.  Nonrenewable."
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/41006B21-008D-4BC3-ED6971FB9D9D4716,Bora & Marcia Perlmutter Chaitable Fund Scholarship,http://www.scholarshipmonkey.com/school/104151,Arizona State University,February 13th,"$1,000.00",,3,"Accounting/Finance, Mathematics/Statistics, Teaching/Education",http://www.asu.edu,"Annual award for an undergraduate student attending Arizona State University full-time, majoring in Accounting, Finance or Teaching Mathematics.  Applicant must be a commuting student and have demonstrated financial need.  Candidate must have completed 30 credit hours and have a minimum 3.5 GPA."
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/410059DB-984E-4A1D-79FF10A4148E1499,American Institute of  Certified Public Accountants-Accountemps Student Scholarship,http://www.scholarshipmonkey.com/school/153603,Iowa State University,Varies,Varies,,3,Accounting/Finance,http://www.iastate.edu,"Scholarship for undergraduate (freshmen ineligible) students enrolled full-time at Iowa State University majoring in Accounting, Finance, or Information Systems.  Students must have a minimum 3.0 GPA and have completed a minimum of 30 credit hours, 6 credit hours in Accounting courses.  Deadlines and award amounts may vary."
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/4100BA42-03B6-851C-56E33C31ACD339A0,Gunnar A.T. Ekberg Memorial Scholarship,http://www.scholarshipmonkey.com/school/194310,Pace University-New York,Varies,Varies,,3,Accounting/Finance,http://www.pace.edu,"Scholarship for seniors attending Pace University (NYC, PLV, or WP campuses) who are majoring in Accounting, Finance, or Management.  Applicants must have a minimum 3.0 GPA and be U.S. citizens/permanent residents.  Deadlines and award amounts may vary."
http://www.scholarshipmonkey.com/list?list=Accounting%20Finance,http://www.scholarshipmonkey.com/scholarship/4100B952-A8AB-DF16-DDA9AEB1DD0DF6DB,Greater Boca Raton Estate Planning Council-Michael Gersten Memorial Scholarship,http://www.scholarshipmonkey.com/school/133669,Florida Atlantic University,Varies,Varies,,,Accounting/Finance,http://www.fau.edu,"Scholarship for undergraduate or graduate students enrolled full-time at Florida Atlantic University majoring in Accounting, Finance, or Estate Planning.  Due date and award amount may vary."
