URL,Title,Categories,Address,Phone,Website,Description,Image URL
http://www.toronto4kids.com/Directories/Babies-Toddlers/index.php/name/Avenue-Road-Arts-School/listing/26079/,Avenue Road Arts School,"Kinderart, Mom & Tot Programs","460 Avenue Road, Toronto  M4V 2J1",416-961-1502,http://www.avenueroadartsschool.com,"A leader in arts education, the Avenue Road Arts School has been providing innovative and high-quality arts classes in visual and performing arts since 1993. We know how to engage young and old in creative, exciting ways and to draw out artistic talent in a supportive, relaxed atmosphere. Classes are taught by professional artists/educators, and small class sizes allow for individual guidance to students at all levels.  AFTER SCHOOL & SATURDAY ARTS PROGRAMS  The After School and Saturday Arts Programs are carefully chosen and designed to offer children and teens plenty of choice, while incorporating a fine balance between fun, creative, engaging and skill-based classes, in both the performing and visual arts. Programs teach children proper technical skills in both classical and latest studio approaches. Each student is encouraged to trust their own creative choices and develop their unique artistic voice. CLASSES OFFERED INCLUDE: Drama Performing ArtsMusical Theatre Theatre AuditionsDrawing & PaintingCartooning & Illustration Mixed Media Clay Sculpture Photography FilmmakingBIRTHDAY PARTIES Let your child's birthday party be a creative experience! For birthday bashes with an artistic flair, we offer Visual Art Parties for children ages 4 to 12 years. Our birthday parties are led by qualified art instructors. Choose from a variety of fun, theme-based art projects like Picasso Portraits, Animals in their Habitats, Magic Wands and 3D Landscapes. Birthday Parties are offered one or two Sundays each month. Ask about Friday party options.  Now available – Drama Birthday Parties! Children will participate in drama games, become unique characters and put on a short play. For more information and to book, please contact the School. MARCH BREAK Avenue Road Arts School offers week-long March Break programs for kids JK through to Grade 9. Children JK-Grade 4 can participate in theme-based integrated arts camps. While kids Grade 4-9 can explore more specific classes including Drawing & Painting, Comic Book Studies, Drama & Musical Theatre. SUMMER CAMPS & ARTS PROGRAMS FOR KIDS & TEENS Come and experience a summer you'll never forget! Throughout July & August we offer theme-based camps for kids JK-Grade 4. In these integrated programs children explore visual art, music and drama.  Half-day or a full-day options are available.  Week-long Arts Camps are offered for ages 2-5 years with a Parent/Caregiver. Kids and teens in Grades 3-12 can choose from a wide range of classes, from Musical Theatre to Cartooning & Illustration and Clay Creations to Drawing & Painting. Adults and teens 15+ can also have some summer fun at the School, exploring their creativity through many painting, drawing and mixed-media based summer arts programs. Visit our website for the summer schedule. PRE-SCHOOL ARTSThe Pre-School Arts Program brings visual art, drama and music together in fun, engaging and age-appropriate lessons. Classes focus on creative self-expression, sensory awareness, problem-solving, refining motor skills and enhancing each child's imagination. Children aged 18 months-4 years attend with a parent or caregiver and kids JK/SK participate independently in the Kinder Arts program.",http://www.toronto4kids.com/images/cache/cache_f/cache_4/cache_d/avenue-road-arts-school-a45cbd4f.jpeg?ver=1415427688&aspectratio=1
http://www.toronto4kids.com/Directories/Babies-Toddlers/index.php/name/luncharoo/listing/27740/,luncharoo,"Baby Gear, Eco-Friendly, Online Shopping","Online Shopping, ON",855-319-4999,http://www.luncharoo.ca,"luncharoo.ca is an online store started by a mom of 2.&nbsp; The store carries items to support waste free lunches at school, work or on the go.For the babies and moms, we have straw bottles, snack containers, cooler bags, etc. For the toddlers and school aged kids we carry age appropriate lunch boxes, lunch bags, backpacks, water bottles and more. For the working individual or the traveler we have tiffin carriers and vacuum flasks, among other things.Some of the brands we carry are Lunchbots, So Young, Laptop Lunches, Wean Green, and Lollacup.Benefits of shopping with us include 15% off on regular priced purchases of $75 or more and flat rate shipping for Ontario and Quebec on minimum orders of $20.00.  Pay by either Visa, Mastercard or Paypal.Like us on Facebook - www.facebook.com/luncharoo or follow us on Twitter - www.twitter.com/luncharoo to get instant updates on promotions. We are a family owned Canadian company that takes pride of ownership.  Every order or question is important to us.  We personally attend to your order and respond to every one of your questions or concerns.  Visit our website at www.luncharoo.ca or call us at 1.855.319.4999.",http://www.toronto4kids.com/images/cache/cache_f/cache_7/cache_d/luncharoo_logo-816bed7f.jpeg?ver=1415416322&aspectratio=3.7037037037037
http://www.toronto4kids.com/Directories/Babies-Toddlers/index.php/name/Mess-for-Fun-Indoor-Playland-Ceramic/listing/26996/,Mess for Fun Indoor Playland & Ceramic,"Baby Showers, Kinderart, Mom & Tot Programs, Mom Groups","73 Alness Street, Unit # 3, Toronto, ON  M3J 2H2",416-736-7101,http://www.messforfun.com,"Mess for Fun is Toronto’s PREMIER indoor kids playground & birthday party centre with one of a kind ceramic and art studio. We offer a safe, spacious, peanut free, environment with a designated play area and ceramic studio to host events and birthday parties.While the kids play, the adults can sit back and relax or play along with the children. Lot of free parking space; Complimentary coffee, tea; WIFI. Check our calendar for upcoming fun events during the year! Walk-ins are welcome, however it is our request to kindly call ahead before coming.OUR SERVICES:BIRTHDAYS AND PARTIESWe offer variety of unique combination PRIVATE PARTIES with or without playground. You have option to just plan a playground party or add activities like Ceramic painting or Canvas painting or T-shirt making or Animal Show, Cupcake decorating or a Musical show party. We host Bar/Bat Mitzvah, baby Showers, Bridal showers and Birthday Parties. Give us a call at 416-736-7101 for a free consultation and we will help you to plan the entire event within your budget. We'll make it memorable!BRING YOUR OWN FOOD OR ORDER OUR FOOD PACKAGE.Clowns, Magicians, Characters, Face painting, DJ’s, Loot-bags, and Photographers are also available.All our packages will include: Full set-up of cutlery, plates, napkins, cups for kids; Coffee and Tea for adults (incl. milk, cups and sugar), Beautiful invitation cards; FREE playpass for every child in the party (worth $8 value); costume closet; one host to help you; 15 minutes before party to set up and 15 minutes after party to wrap up; Best customer service and more. For complete details and pricing, please visit our website or call us at 417-736-7101.CERAMIC PAINTING & ART STUDIOMess for Fun’s ceramic and art studio is open to people of all ages. Our ceramic & art studio is a great way to get your creative juices flowing! No experience is needed to create your own ceramic masterpiece or canvas using the many resources we have available - $15 and up (includes studio time, ceramic piece, paint and glaze). Walk-ins are welcome; please note our ceramic paints are non-toxic and dinnerware safe. They are washable and comes off from clothes and hands easily.INDOOR PLAYGROUNDBring your kids to our fancy jungle theme play area on a holiday or a PA day where they can jump on Bouncy Castle or play in doll house or hide in tunnel or dress up in costume and pose for pictures. We have it all to entertain them and keep them busy while you relax and enjoy your coffee or FREE WIFI. Walk-ins are welcome – $8 and up.MOM & TOT PROGRAMSEvery Tuesday and Thursday Messforfun offers MOM & TOT PLAY & LEARN PROGRAM. Play combine with fun activities such as crafts, ceramics, arts and more. Sign up and join the group.GIRLS NIGHT OUTHas the hustle and bustle of Motherhood, worn you out? Need a little pause in all its craziness? Come and paint your troubles away at Messforfun! Each stroke of the brush is a calming, breath to your soul. Good music, great friends, a wonderful time! Ladies Night/Girls night is held every FIRST FRIDAY. Bring your favorite bottle of wine, and we’ll supply the snacks for you to enjoy while you paint your chosen piece of pottery. Prices start at $15.00 and up and includes ceramic paint, brushes, instruction and firing.  6 p.m – 9 p.m. - BOOK TODAY - Call 416-736-7101.HOLIDAY CAMPSWhen school's out, Mess for fun is the place to be! With our Summer Break, Winter Break, March Break, and Passover Break Camps, we are sure to keep your kids active and entertained all week long. Daily activities include: crafts, ceramics, magic, science, cooking, organized games and of course lots and lots of fun! Campers range in age from 5-12 years old.  UPCOMING CAMPS: Mess for fun an Indoor Playground & Art Studio offers a fun filled action packed Summer Camp for kids from 4 to 12.So what does a typical day at a messforfun camp look like?The day begins by getting to know each of the children and helping them get to know each other with our team building activities. For each camp we choose a unique theme to spark discussion and lead the day of learning and play! After a morning of thinking, questioning and learning we head outdoors to one of the beautiful green spaces in our neighbourhood. A break for lunch, then we kick off the afternoon with ‘Messforfun Planned Activities’ where the kids put their imaginations to work with a hands on project.We offer aftercare from 4pm-6pm for those parents that need it, but regardless of the time your child is picked up, they will leave Messforfun with new friends, new ideas and a smile on their face!WE COME TO YOU:We bring Ceramics to your facility – Schools, Daycares, Retirement homes, Camps or other large groups can take advantage of us bringing our ceramic studio to your facility. Special pricing for large groups; Call us at 416-736-7101 to check availability and hold the spot today!Friday Night Kids Party at Mess for Fun Paint and play party are on Friday nights from 4:30 to 6:30. Call to inquire!Media Classes Watch as your child creates their very own feature film, Animation star or Comic book, we teach it all in our Media classes .Painting ClassesLet your creative juices flow. Let us teach your kids to paint ceramics effectively using a variety of techniques and styles. All materials, paints and ceramic pieces included.We also offer Evenings and Weekends programs for moms and parents. Please visit our website for more details.",http://www.toronto4kids.com/images/cache/cache_4/cache_9/cache_a/mess-for-fun-logo-1cfb8a94.jpeg?ver=1415418353&aspectratio=1
http://www.toronto4kids.com/Directories/Babies-Toddlers/index.php/name/Movies-For-Mommies/listing/26125/,Movies For Mommies,Movies for Moms,"Various Locations in the GTA, ON",905-707-8866,http://www.moviesformommies.com,"Movies For Mommies is a Baby Friendly environment for parents (Moms And Dads) to enjoy a grown up movie with reduced film sound, bottle warming, stroller parking, and change tables on site. A great way to meet other new parents.Admission includes all access to baby-friendly services, change tables, diapers & wipes, bottle warming and other promotional items. All locations have ample parking around the theatre or are conveniently located near public transit stops.Launched in June of 2001 in mid-town Toronto, Movies For Mommies was the first event of its kind to offer grown up entertainment in a Baby- Friendly environment.Now in it’s 9th year, MFM has expanded across the country to major cities including: Montreal, Ottawa, Toronto, London, Waterloo, Edmonton area, Regina, Saskatoon and Vancouver.Visit our website for Ontario locations!",http://www.toronto4kids.com/images/cache/cache_2/cache_f/cache_1/movies-for-mommies-ec1411f2.jpeg?ver=1415426029&aspectratio=1
http://www.toronto4kids.com/Directories/Babies-Toddlers/index.php/name/My-Artlab/listing/28058/,My Artlab,"Kinderart, Mom & Tot Programs","66 Lewis Street, Toronto, ON  M4M 2H3",416-778-9067,http://www.myartlab.ca,"My Artlab is all about playing and making art. We play while pretending that the studio is a train station, or an ocean, or a mountain, or a jungle. Sometimes it is an ice rink, a bus, an airplane, or a royal palace. Other times it is a zoo, a circus, a desert, a field, an olympic stadium. What will it become next? Anything, but foremost a happy place where imagination rules. Let’s begin with a dream!ART & FRENCH CLASSESEach class goes one step deeper into the never-ending world of creative possibilities to keep your child motivated and engaged. Throughout this journey, the children are challenged to work with a wide range of materials and techniques, both indoors and outdoors, while working in groups and often on small performances. The classes are designed to grow students’ motor skills, communication, problem-solving, confidence and self expression.Caterpillar Lab - 6-18m monthsEvery class babies and caregivers touch, feel, play with, move through and enjoy a new set up in the studio. We will use music and songs to animate them and pictures, shapes and textures to create and invent new ways to play and bond.Lilliput Lab – 18 months to 3 yearsEach class offers a playful experience and a new discovery for children and their caregivers. Together they explore materials and objects through painting, printing, drawing and building. Music and movement further engage them to interact with their creations and turn them into magical toys that capture their imagination.Wonder Lab - 3 to 5 yearsEach class explores an element of a theme in progress. The work involves drawing, painting, printing, building, small performances, installations.Treasure Lab - 5-12 yearsKids draw, paint, make collages and learn how to turn their 2 dimensional works into 3 dimensional creations to use in small performances and installations.FrenchThis is an upbeat and lively introduction to French through songs, pictures, games and small presentations. The class is geared towards kids starting JK.For a complete description of classes and themes, please visit our website.BIRTHDAY PARTIESBirthdays/PrivateCelebrate your child’s’ birthday party or book a private class for you or your group at My Artlab. A theme of your choice is a starting point for a class or project your kids will love to do. Refreshments are your responsibility and may be served in the last 15-30min of the party.  Each child will create an original artwork based on the theme of your choice to take home. For birthday party package pricing, please visit our website.CAMPSMy Artlab offers seasonal Camps during the Summer, Winter Break and March Break.Our camps offer kids opportunity to make art inside and outside, have yoga and dance breaks, climb on our rock climbing wall and make a final presentation for their parents.For camp info, please contact us for complete details! ",http://www.toronto4kids.com/images/cache/cache_2/cache_3/cache_1/my-art-lab-logo-31fc5132.jpeg?ver=1415437303&aspectratio=1
http://www.toronto4kids.com/Directories/Babies-Toddlers/index.php/name/Wise-Adventures/listing/26813/,Wise Adventures,"Early Learning, Mom & Tot Programs, Mom Fitness & Yoga, Play & Music","3353 The Credit Woodlands, Unit 213, Mississauga, ON  L5C 2K1",905-782-8110,http://www.wise-adventures.ca,"Infant ProgramsAre you a new parent ready to come out to see the world again? Spend special time with your infant, meet new parents and share your joys and challenges. Daddies also welcome! ​All baby classes are ½ hour long.*Mention Toronto4Kids and receive a 50% Discount!My Baby & Me - A drop-in program for parents with babies. Enjoy some adult conversation, meet other parents, make friends and enjoy an afternoon out. A fun time for your baby with toys and songs. Mother Goose - Come, drop-in and experience the spark of delight and magic that comes from enjoying a favourite rhyme or song together with your little one.Tales & Tunes - Come and join in the fun with your baby! Songs, stories and games make for a fun time out.Little Creators - See, touch and create! Come and join our new fun-filled, hands-on program and have messy fun. Each week you and your child will explore and experience art media, colour, texture and music, while using fine motor skills, social skills and eye-hand coordination. At the end, you will leave with a collection of your child’s creations.Fun for Little Ones - Come to this special drop-in program with your little one. Your child will enjoy infant, toddler toys and songs, and you will have a chance to meet other families too.Mommy & Me Yoga - a fun way to reconnect with your body while enjoying time with your baby. You need a yoga mat and are more than welcome to bring extra blankets, stuffed animals, and your stroller into the studio during these classes.Stroller Fit - Get in shape fast while walking with your baby! To participate in classes, moms must be at least 6 weeks postpartum (8 weeks for a cesarean section) and have received verbal clearance from their physician to resume physical exercise. Pregnant moms must receive written clearance from their physician twice during their pregnancy, depending on when they begin attending Baby Boot Camp classes.Toddler,  Preschool & Family Programs Toddler classes foster gentle separation and are ideal for children ages 1 1/2 to 4.​ These classes focus on toddlers’ independence so that when the time comes they are ready for school. All classes are 45 minutes in length.Building Fun - Your toddler will explore many different types of blocks, helping them develop motor skills and hand eye coordination, foster creativity, and problem solving.Play Doh Madness - Is your toddler passionate about play doh? Bring him/her over and they will enjoy many different tools & colors and make their own amazing creations. We’ll share the play doh recipe with you.Tots in Action - Come and join us for an exciting morning with your toddler! In this program we will enjoy songs, finger plays and stories, with balls, bubbles and books!Toddling Tots - Bring along your favourite adult and join us for a fun filled morning of toddling, free play, songs and a craft.Boogie Woogie - If your child likes to dance and move, then join us for an action packed morning. We’ll explore gross motor activities, circle time with songs and music. Lots of fun for everyone! Trains, Cars & Planes - Is your toddler passionate about transportation? If so, this class is ideal to satisfy their curiosity, and get their little hands busy with trains, cars, planes & other types of vehicles. Girls also welcome.Enjoying Your Toddler - This is a great way to introduce your child to a playroom, with crafts and songs, while having lots of fun with other parents and children.ABC's and 123's - your toddler will master the alphabet and counting in this fun and interactive class!Artist & Me - Enjoy this exciting new program with your child and be introduced to different artists and the techniques that they used in their masterpieces. Discover ways to create and experiment with different art methods and mediumsChillin’Kids - This program is designed for families whose children “feel the stress more”. Together, parents and children will learn ways to calm worried feelings, and strategies that help children express those big feelings and solve problems. Parents will develop a deeper understanding of their role in empowering their children to cope in our stressful world!Adventures in Storyland - Join us with your child in this program. Come share the love of books; enjoy a craft, rhymes and songs that relate to the weekly story – helping to develop early literacy skills while having fun!Marvelous Messes - Come with your child and discover the wonderful world of exploration and discovery through sensory materials, paint, recycled art and water. This is a great opportunity to have fun and enjoy the mess!Emotions through Fairy Tales - Your child will explore many different emotions through fairy tales – happy, sad, scared, worried, angry, shy. Different Fairy Tale in each class!Jolly Phonics - Learn reading through phonics. We will cover new sounds each week and give you ‘homework’ to practice with your toddler during the week.Twist & Shout - Through music, games and songs you and your child can have fun moving, dancing and playing musical instruments  together.Time Together - Join us for some crafts, playtime and songs while having lots of fun with parents and children.Moment de Plaisir Ensemble - Vient t’amuser avec nous, bricoler, chanter et danser en Français. Programme pour parents - enfants, 0 - 5 ans. A moment of fun together, in French. Come drop in and play with us and do crafts, singing and dancing. Program for parents and children.Calling All Dads - This drop-in gives dads an opportunity to connect with their kids. We provide lots of stimulating activities for children in a safe, fun environment. Plan to join us, hang out with other dads, and have a great time with the kids. Grandpas and Uncles also welcome!Structures & Construction - Children love to build, create and explore. Drop off your child and they can discover the interesting world of structures & construction through hands-on experiences. Through play and projects, your child will learn math and science concepts. Dinosaurs Rock -You and your child can uncover the world of dinosaurs through hands-on experiences. This is a great opportunity to learn math and science concepts through play, and still discover how cool dinosaurs really are!Parenting Workshops - Join us for great discussions as we explore the answers to many common parenting questions. Learn some new strategies, and meet some other parents who are sharing your experiences. For more information on our Infant and Toddler Programs, CLICK HERE.",http://www.toronto4kids.com/images/cache/cache_d/cache_f/cache_a/wise-adventures-logo-bd67dafd.jpeg?ver=1415546323&aspectratio=1
http://www.toronto4kids.com/Directories/Babies-Toddlers/index.php/name/88-Keys-Richmond-Hill/listing/25915/,88 Keys Richmond Hill,"Early Learning, Mom & Tot Programs, Play & Music","70 East Beaver Creek, Unit 25, Richmond Hill, ON  L4B 3B2",905-881-2893,http://www.88keys.ca,"88 Keys located in Richmond Hill is an early childhood music education centre for newborn to 8 years using Yamaha, Kindermusik, and Suzuki teaching philosophies.Celebrating its 11th anniversary as Toronto’s leader in music education.PROGRAMS:Yamaha• Music Wonderland: age 3-4• Junior Music Course: age 4-5• Young Musicians Course: age 6-8• Piano Club: age 8-10Coming September 2013: Art Classes Kindermusik• Village: newborn - 18 months• Our Time: 18 months - 3½ years• Imagine That: 3½ - 5 years• Young Child: 5 – 7 yearsIndividual Lessons following Yamaha and Suzuki methods• Piano, Violin: ages 4 & upMobile• Ages: JK to Grade 4• Weekly music lessons at Public / Private schools and childcare centers in Toronto area.Birthday Parties• Birthday Parties at 88 Keys centre or at your preferred location.Summer Music CampAges: 4 to 8 yearsSession 1: July 2 to July 12 (Fee $540)Session 2: July 15 to July 26 (Fee $600)Time: 9:00 - 4:00 daily; Full-day camp. Extended care to 6 pm available. Enjoy a fabulous and fun camp curriculum of music and art, instrument play and performances. Lots of creativity and interaction to stimulate kids active bodies and minds. Limited spaces, enroll early! For more information, please visit our website.",http://www.toronto4kids.com/images/cache/cache_b/cache_2/cache_c/88-keys-0b594c2b.jpeg?ver=1415418403&aspectratio=1
http://www.toronto4kids.com/Directories/Babies-Toddlers/index.php/name/Action-Potential-Lab/listing/27430/,Action Potential Lab,"Kinderart, Mom & Tot Programs","451 Christie Street, Toronto, ON  M6G 3C7",416-538-4100,http://www.actionpotentiallab.ca,"Action Potential Lab is Toronto’s first laboratory dedicated to merging science and art. It is here where the teachings of both fields interact and exchange by way of classes, workshops, birthday parties, lecture series and various community outreach programs.  BABIES & TODDLERSParents + Protons: Walk, bike, drive or stroll over with your toddler for our morning science + art sessions. We have science + art supplies for you and your little one to tinker with and explore. Classes are held for the Fall, Winter and Spring Terms.KIDS CLASSESAction Potential Lab offers a wide range of science + art classes for kids. We engage our students in projects ranging from DIY microbiology and food science to DNA extractions and biological art. Classes are encouraged to work at the intersect between these two fields. Our laboratory is open to curious people of all ages.Classes are offered for the Fall, Winter and Spring Terms. Please visit our website for a detailed list of courses offered and rates.BIRTHDAY PARTIESAction Potential Lab offers Science + Art Birthday Parties, personalized for your child.We provide Birthday activity, Birthday decorations, Birthday invitations (emails or print), and Set-up and clean-up. All you need to provide is food, drink and flatware (all nut free). We also offer optional Loot bags for guests.SCIENCE + ART SUMMER CAMP Join us for a combination of science, art and outdoor play during Action Potential Lab’s Summer Camp. We’ve taken our best experiments from the year and fused them into two weeks of fun activities for inside and outside of the lab. Each week we’ll be doing hands on experiments, working on collaborative art installations and spending plenty of time outside at Hillcrest Park, across the street from the lab, which has a basketball court and tennis courts, a splash pad and plenty of running around space. On the last Friday of each week, we’ll end our camp with a fabulous gallery show for parents and friends, exhibiting all of our awesome research projects. Special Workshops with exhibiting gallery artists, scientists, professors and researchers from U of T, OCAD U, and MaRS. Camp activities include: ·photography·plant biology·sculpture·DIY solar panel making·microbiology·guerilla gardening·our punk or alternative approach to gardening projects+ lots more! At Action Potential Lab, we use our brains. To find out more, please visit our website!",http://www.toronto4kids.com/images/cache/cache_6/cache_4/cache_1/action-potential-lab-logo-66ec2146.jpeg?ver=1415503367&aspectratio=0.99009900990099
http://www.toronto4kids.com/Directories/Babies-Toddlers/index.php/name/Allegro-Academy-of-Music-and-Art/listing/26383/,Allegro Academy of Music and Art,Mom & Tot Programs,"2900 Steeles Ave East, #217, Thornhill, ON  L3T4X1",905-881-2226,http://www.allegroacademyofmusicandart.com,"MUSIC CLASSESParent and Tot music programs available.At Allegro Academy of Music and Art you will be offered MYC classes - Music For Young Children.In the MYC program, children's learning styles and needs are met through a multi-sensory approach.  The understanding of music will expand into positive problem-solving skills, areas of self-expression, the growth of memory skills and excellent self-confidence and self-esteem. With these natural outcomes children can easily take on the skills required to read other languages and master other tasks. In MYC, children meet in small groups, in their own age category, once a week for an hour, accompanied by an adult (parent, grandparent or caregiver) who participates in the program. ART We offer Drawing and Painting/Sculptures and 3D Work/Miscellaneous crafts classes. Students will do all the drawing/painting, sculpture and 3d classes and then choose 2 of the miscellaneous craft classes. VOICE/SOLFEGGIO We offer Voice and Solfeggio classes. ""Solfeggio"" is voice practice in which the scales are sung with the sol-fa, etc. syllables. This enables participant to: Recognize melodic and harmonic intervals, Compare interval sizes, Identify and sing intervals and chords, Scales, Dictation and Remembering rhythmic patterns. We offer group or private classes. BIRTHDAY PARTIES Call us so we can plan your Child’s Birthday Party! Mix unique Music, Art or Drama program together! Just let us know the age of your child and his guests. We ensure that your party will be the most fun, unique and memorable one! Birthday GIFT is included. A team of licensed Kindermusik educators specializing in early childhood education and Art experts will plan your child’s birthday party in a fun and interactive way. But wait, your child and gests will not just play, listen, dance and draw, but will be educated at the same time to musical activities specifically designed to stimulate early childhood development and strengthen neural pathways in your child's mind. Parties are offered for age-appropriate groups. MARCH BREAK AND SUMMER CAMP Develop Your Musical Talent Over The Spring & Summer! We offer half-day or full day camps. Summer Music Camp offers children the opportunity to develop their abilities while interacting with their peers and getting out of the house. Music Camp provides an excellent way for your child to extend his or her musical growth through the summer months. Activities include: Daily Music and Art Classes, Weekly Karate Lessons in partnership with Northern Karate School, Daily Early Childhood Activities to support multiple intelligences and learning styles. For more information on all our programs, please contact us or visit our website.",http://www.toronto4kids.com/images/cache/cache_b/cache_2/cache_4/allegro-music-art-8bf5442b.jpeg?ver=1415397900&aspectratio=1
http://www.toronto4kids.com/Directories/Babies-Toddlers/index.php/name/Alphas-Preschool-Academy-and-Child-Care-Centre/listing/26023/,Alpha's Preschool Academy and Child Care Centre,"Mom & Tot Programs, Play & Music, Pre-Schools","170 Ambassador Drive, Unit 9-10, Mississauga, ON  L5T 2H9",905-564-2511,http://www.alphasdiscoveryclub.com,"Alpha’s Preschool Academy and Child Care Centre is dedicated to providing children 18 months to 5 years with a developmentally appropriate, quality program that helps the child to learn and grow. We aim to provide warm consistent care to teach and nurture children in a loving, respecting manner. Our goal is to meet the needs of the parents and children and to enrich each child’s emotional well-being and cognitive stimulation through academics, daily routines, physical care, planned activities and stimulating interactions with peers and teachers. Our goal is to promote happy, healthy, well-adjusted children that feel good about themselves and are ready to enter the school environment with success.Visit our website for more information. We also feature an indoor playground with birthday party services. ",http://www.toronto4kids.com/images/cache/cache_e/cache_2/cache_8/alpha-discovery-logo-9dee082e.jpeg?ver=1415522952&aspectratio=1
