Category URL,Title,Details URL,Category,Image URl,Description
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=422,Blueberry Picking in the GTA,http://www.toronto4kids.com/July-2015/Blueberry-Picking-in-the-GTA/,Agritainment,http://www.toronto4kids.com/images/cache/cache_0/cache_6/cache_7/summer-blueberry-picking-f4cd7760.jpeg,July 2015,"The Pick-Your-Own blueberry season begins in July and continues through late August or early September. Blueberries might just be the easiest fruit to pick, prepare and serve."
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=422,Raspberry Picking in the GTA,http://www.toronto4kids.com/July-2015/Raspberry-Picking-in-the-GTA/,Agritainment,http://www.toronto4kids.com/images/cache/cache_7/cache_d/cache_2/raspberry-picking-2015-2644e2d7.jpeg,July 2015,Picking your own raspberries is a great way to spend a summer day with your family. Late July is peak season for raspberries. Here's where you can head out to pick your own in the Greater Toronto Area.
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=422,Pick-Your-Own Strawberry Farms,http://www.toronto4kids.com/June-2015/Pick-Your-Own-Strawberry-Farms/,Agritainment,http://www.toronto4kids.com/images/cache/cache_6/cache_5/cache_c/strawberry-picking-2015-59962c56.jpeg,June 2015,"The pick-your-own strawberry season in Toronto starts this June and many pick-your-own farms are opening. Get your ""first pick!"" Find out where you can pick your own in Toronto and surrounding areas."
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=422,5 Fun Petting Zoos and Farms,http://www.toronto4kids.com/April-2015/Animal-Encounters-5-Fun-Petting-Zoos-and-Farms/,Agritainment,http://www.toronto4kids.com/images/cache/cache_3/cache_a/cache_4/animal-encounters-278844a3.jpeg,April 2015,It's Spring so grab your kiddos (and a camera) and head out to visit the baby animals! Get ready to encounter some animal fun of the cute kind! 5 great sites where kids can connect with animals.
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=422,Toronto & GTA Farmers' Markets,http://www.toronto4kids.com/April-2015/Toronto-GTA-Farmers-Markets-Fresh-Local-Food-for-Your-Family/,Agritainment,http://www.toronto4kids.com/images/cache/cache_7/cache_7/cache_6/farmers-markets-1882f677.jpeg,April 2015,"Make the most of the Spring harvest by hitting up some of the city's very best green markets, many of which open for the season beginning in May. Bring the kids along and peruse the plentiful fruits and veggies."
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=422,Maple Sugaring Season is Here!,http://www.toronto4kids.com/February-2015/Maple-Sugaring-Season-is-here/,Agritainment,http://www.toronto4kids.com/images/cache/cache_c/cache_7/cache_c/maple-sugaring-2015-a0caec7c.jpeg,February 2015,"Maple sugaring season is here! Tap trees, collect sap, and see syrup made over a wood-fired evaporator. Stick around for a maple syrup sample! Stop by these locations for tree tapping and syrup tasting."
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=422,Cut Your Own Christmas Tree Farms,http://www.toronto4kids.com/December-2014/Cut-Your-Own-Christmas-Tree-Farms/,Agritainment,http://www.toronto4kids.com/images/cache/cache_3/cache_8/cache_2/cut-your-own-tree-84d02283.jpeg,December 2014,"Grab your gloves, your ropes, and your coat and go find the perfect Christmas tree! An expedition to a Christmas tree farm is fun for the whole family with special Winter activities."
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=422,Royal Agricultural Winter Fair,http://www.toronto4kids.com/November-2014/The-92nd-Royal-Agricultural-Winter-Fair/,Agritainment,http://www.toronto4kids.com/images/cache/cache_2/cache_4/cache_9/royal-winter-fair-2014-9022a942.jpeg,November 2014,The Royal Agricultural Winter Fair is returning to Toronto for its 92nd annual run in November with an expanded line-up of activities and entertainment that focus on farm fresh fun.
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=422,Pumpkinland at Whittamore's Farm,http://www.toronto4kids.com/October-2014/Pumpkinland-and-Harvest-Festival-at-Whittamores-Farm/,Agritainment,http://www.toronto4kids.com/images/cache/cache_8/cache_2/cache_6/whitamore-fall-fest-intro-35187628.jpeg,October 2014,"If you're looking for a fun family activity this Fall, stop in at Whittamore's Farm for Pumpkinland and Harvest Festival Weekends. The farm is transformed into a Halloween wonderland!"
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=422,Fall Harvest Festivals 2014,http://www.toronto4kids.com/October-2014/Fall-Harvest-Festivals-2014/,Agritainment,http://www.toronto4kids.com/images/cache/cache_d/cache_1/cache_d/harvest-festivals-9deecd1d.jpeg,October 2014,"Farmers are preparing for the Fall harvest! Day-trippers can make their way to celebratory harvest festivals where the attractions include wandering through corn mazes, picking pumpkins, and more."
http://www.toronto4kids.com/Article-Archive/index.php?cp=2&si=10&tagID=422,Pick Your Own Pumpkins,http://www.toronto4kids.com/September-2014/Pick-Your-Own-Pumpkins/,Agritainment,http://www.toronto4kids.com/images/cache/cache_8/cache_9/cache_a/pumpkin-picking-d4bc8a98.jpeg,September 2014,"What's All Hallows' Eve without the perfect pumpkin? You could grab one from your local farmers' market or at the grocery store. But for a more authentic experience, head to the country to pick-your-own."
http://www.toronto4kids.com/Article-Archive/index.php?cp=2&si=10&tagID=422,Fall Fun at Brooks Farms,http://www.toronto4kids.com/September-2014/Fall-Fun-at-Brooks-Farms/,Agritainment,http://www.toronto4kids.com/images/cache/cache_c/cache_b/cache_b/brooks-apples-intro-a868cbbc.jpeg,September 2014,Kick off the Fall season with a visit to Brooks Farms! Brooks Farms has been growing fun for over 100 years. This heritage farm and agri-tourism destination offers tons of family-friendly activities.
http://www.toronto4kids.com/Article-Archive/index.php?cp=2&si=10&tagID=422,Amazing Mazes,http://www.toronto4kids.com/September-2014/Amazing-Mazes/,Agritainment,http://www.toronto4kids.com/images/cache/cache_a/cache_8/cache_9/maze2-4ac4998a.jpeg,September 2014,"Kids love Autumn visits to GTA farms so they can wander through mazes made of maize stalks or hay. Some mazes wind around for as much as a couple of kilometers, in all kinds of shapes and themes."
http://www.toronto4kids.com/Article-Archive/index.php?cp=2&si=10&tagID=422,Apple Adventures,http://www.toronto4kids.com/September-2014/Apple-Adventures/,Agritainment,http://www.toronto4kids.com/images/cache/cache_5/cache_2/cache_c/apple-picking-4fb17c25.jpeg,September 2014,"What's the sweet upside of Summer coming to a close? The fact that apple picking season is about to begin. Starting in September, orchards throughout the GTA offer families the chance to pick their own apples."
http://www.toronto4kids.com/Article-Archive/index.php?cp=2&si=10&tagID=422,Fall Fun at the Farm,http://www.toronto4kids.com/September-2014/Fall-Fun-at-the-Farm/,Agritainment,http://www.toronto4kids.com/images/cache/cache_2/cache_b/cache_8/fall-fun-at-farm-163178b2.jpeg,September 2014,"When harvest season nears, Toronto and GTA farms swing open their gates for agritourism and Fall fun in the fields. Load up the family for some kid-friendly learnin’, pickin’, and eatin’!"
http://www.toronto4kids.com/Article-Archive/index.php?cp=2&si=10&tagID=422,Peach Picking in Ontario,http://www.toronto4kids.com/August-2014/Peach-Picking-in-Ontario/,Agritainment,http://www.toronto4kids.com/images/cache/cache_8/cache_a/cache_4/peach-picking-ce2be4a8.jpeg,August 2014,"August is the perfect time to head to the farm and fill up a bucket with luscious peaches. In fact, August is National Peach Month. Here are some family-friendly PYO peach farms to visit in Southern Ontario."
http://www.toronto4kids.com/Article-Archive/index.php?cp=2&si=10&tagID=422,Blueberry Picking Farms,http://www.toronto4kids.com/July-2014/Blueberry-Picking-Farms-in-the-GTA/,Agritainment,http://www.toronto4kids.com/images/cache/cache_9/cache_5/cache_e/blueberry-picking2-4294ee59.jpeg,July 2014,It's blueberry picking time! Celebrate National Blueberry Month by heading out to one of the many places in the Greater Toronto Area where you can pick your own.
http://www.toronto4kids.com/Article-Archive/index.php?cp=2&si=10&tagID=422,Strawberry Fields in Toronto & GTA,http://www.toronto4kids.com/June-2014/Strawberry-Fields-in-Toronto-GTA/,Agritainment,http://www.toronto4kids.com/images/cache/cache_0/cache_b/cache_c/strawberry-picking-2-929e6cb0.jpeg,June 2014,"The Toronto area is ripe with places that will allow you to pick your own strawberries. Deciding where to go can be a challenge, so we've hand-picked a few locations in the Greater Toronto Area."
http://www.toronto4kids.com/Article-Archive/index.php?cp=2&si=10&tagID=422,Must-See Corn Mazes,http://www.toronto4kids.com/October-2013/Must-See-Corn-Mazes/,Agritainment,http://www.toronto4kids.com/images/cache/cache_6/cache_c/cache_b/corn-mazes-in-ontario-canada-51a3dbc6.jpeg,October 2013,Discovering a maze in a cornfield is a unique outing for families. Ontario offers some amazing corn mazes where getting lost is all about finding fun! Here are some impressive corn mazes for the 2013 season!
http://www.toronto4kids.com/Article-Archive/index.php?cp=2&si=10&tagID=422,Pick Your Own Raspberries,http://www.toronto4kids.com/July-2013/Pick-Your-Own-Raspberries/,Agritainment,http://www.toronto4kids.com/images/cache/cache_7/cache_2/cache_2/raspberry-picking-768dd227.jpeg,July 2013,Late July is when the Fall crop of raspberries are ready. Take the kids and go to a pick-your-own farm. It makes for a great activity and gets them out for a fun day.
http://www.toronto4kids.com/Article-Archive/index.php?cp=3&si=20&tagID=422,Cherry Picking in Toronto & the GTA,http://www.toronto4kids.com/June-2013/Cherry-Picking-in-Toronto-GTA/,Agritainment,http://www.toronto4kids.com/images/cache/cache_c/cache_e/cache_1/cherry-picking-2-b7e8b1ec.jpeg,June 2013,"Cherry picking can be a great way to spend an afternoon as a family, as well as getting fresh fruit. Here's where to pick your own in Ontario, along with tips on how to pick this tasty fruit!"
http://www.toronto4kids.com/Article-Archive/index.php?cp=3&si=20&tagID=422,Family Fun at Christmas Tree Farms,http://www.toronto4kids.com/December-2012/Family-Fun-at-Christmas-Tree-Farms/,Agritainment,http://www.toronto4kids.com/images/cache/cache_b/cache_3/cache_d/Christmas-Tree-Farm-218f7d3b.jpeg,December 2012,"Head outdoors to a cut-your-own tree farm! Each holiday season, tree farms in the GTA pile hay into wagons and drive Christmas-tree cutters out into the pine-scented fields to choose the perfect tree."
http://www.toronto4kids.com/Article-Archive/index.php?cp=3&si=20&tagID=422,Goin' to the Pumpkin Patch,http://www.toronto4kids.com/October-2012/Goin-to-the-Pumpkin-Patch/,Agritainment,http://www.toronto4kids.com/images/cache/cache_b/cache_0/cache_a/pumpkin-patch-1-8deb6a0b.jpeg,October 2012,"Charlie Brown wasn't the only child in search of the ""Great Pumpkin."" Each year, thousands of kids and their families flock to pumpkin patches hoping to find that one remarkable pumpkin.  "
http://www.toronto4kids.com/Article-Archive/index.php?cp=3&si=20&tagID=422,Apple Picking Family Fun,http://www.toronto4kids.com/October-2012/Apple-Picking-in-the-Greater-Toronto-Area/,Agritainment,http://www.toronto4kids.com/images/cache/cache_4/cache_2/cache_9/apple-picking-2-4484b924.jpeg,October 2012,Apple picking is a wonderful family day trip option for those looking to enjoy a fun Fall outing in the country. It's the perfect adventure for kids as local orchards are welcoming once-a-year harvesters.
http://www.toronto4kids.com/Article-Archive/index.php?cp=3&si=20&tagID=422,The Maze Craze,http://www.toronto4kids.com/October-2012/The-Maze-Craze/,Agritainment,http://www.toronto4kids.com/images/cache/cache_9/cache_f/cache_b/corn-maze-aaaacbf9.jpeg,October 2012,"You can shuck it, pop it, grill it, steam it, butter it and now you can even play in it! Corn has never been so versatile and the latest ""in"" thing has nothing to do with eating it but more about getting lost in it."
http://www.toronto4kids.com/Article-Archive/index.php?cp=3&si=20&tagID=422,Fall Farm Days,http://www.toronto4kids.com/October-2012/Fall-Farm-Days/,Agritainment,http://www.toronto4kids.com/images/cache/cache_2/cache_d/cache_b/fall-farms-a7e8dbd2.jpeg,October 2012,"Hayrides, corn mazes, pony rides, harvest barns, pumpkin or apple picking, farmers' market, and some 'haunted' attractions. Many farms will host fun-filled children's Fall festivals."
http://www.toronto4kids.com/Article-Archive/index.php?cp=3&si=20&tagID=422,Apple Picking in Toronto and GTA,http://www.toronto4kids.com/August-2012/Apple-Picking-in-Toronto-and-GTA/,Agritainment,http://www.toronto4kids.com/images/cache/cache_c/cache_d/cache_f/apple-picking-in-gta-ad86cfdc.jpeg,August 2012,Fall is here! Ready for some serious family Autumn fun? Celebrate with the time-honored tradition of visiting an apple farm. Many of the greater Toronto farms have u-pick orchards to boot.
