Category URL,Title,Details URL,Category,Image URl,Description
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=353,100 Free Things to do this Summer,http://www.toronto4kids.com/July-2015/100-Free-Things-to-do-this-Summer/,Free & Cheap Outings,http://www.toronto4kids.com/images/cache/cache_c/cache_4/cache_a/100-free-things-summer-c82c6a4c.jpeg,July 2015,"Can you believe that there are literally 100 Free things to do in Toronto and the GTA? This summer, indulge in some free fun for the entire family. Our great city has plenty to see and do!"
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=353,Skateboard Parks in the GTA,http://www.toronto4kids.com/July-2015/Skateboard-Parks-in-the-GTA/,Free & Cheap Outings,http://www.toronto4kids.com/images/cache/cache_0/cache_6/cache_1/skateboarding-parks-1e96b160.jpeg,July 2015,"There are plenty of options for skaters in the Greater Toronto Area looking for a dedicated space to practise their moves. If your child aspires to be the next Tony Hawk, check out these skateboard parks!"
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=353,Museum + Arts Pass Program,http://www.toronto4kids.com/July-2015/Sun-Life-Financial-Museum--Arts-Pass-Program/,Free & Cheap Outings,http://www.toronto4kids.com/images/cache/cache_b/cache_c/cache_d/map-program-osc-9cdfddcb.jpeg,July 2015,"The Sun Life Financial Museum + Arts Pass program allows Toronto families to borrow a limited number of free family passes to local museums, art galleries and other participating venues."
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=353,Fabulous Family Beaches,http://www.toronto4kids.com/July-2015/Fabulous-Family-Beaches-in-the-GTA/,Free & Cheap Outings,http://www.toronto4kids.com/images/cache/cache_3/cache_e/cache_6/beaches-2015-d564d6e3.jpeg,July 2015,We're highlighting dozens of our favourite family beach destinations in an around the Greater Toronto Area. Perfect for beach-loving families and a fun day out in the sun!
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=353,Where Kids Can Bowl Free,http://www.toronto4kids.com/July-2015/Kids-Bowl-Free-Summer-of-2015/,Free & Cheap Outings,http://www.toronto4kids.com/images/cache/cache_b/cache_3/cache_1/kids-bowl-free-2015-b26aa13b.jpeg,July 2015,The kids bowl FREE program is back at participating locations across Canada. The Kids Bowl Free is a nation-wide program where kids get to bowl for free every day during the summer!
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=353,July Festivals 2015,http://www.toronto4kids.com/July-2015/July-Festivals-2015/,Free & Cheap Outings,http://www.toronto4kids.com/images/cache/cache_d/cache_d/cache_d/festivals-july-2015-16f63ddd.jpeg,July 2015,"Those ""lazy, hazy, crazy days of summer"" are here, and some of the most memorable moments are spent at festivals. Fill your Summer with adventure and fun at these July Festivals."
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=353,July on the Cheap!,http://www.toronto4kids.com/July-2015/July-on-the-Cheap/,Free & Cheap Outings,http://www.toronto4kids.com/images/cache/cache_d/cache_f/cache_8/toronto-railway-museum-53cb28fd.jpeg,July 2015,"July makes a grand entrance with Canada Day celebrations, including daytime festivities and fireworks filling the night sky. Family fun keeps going all month with lots of free events and activities!"
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=353,Cineplex Family Favourites July,http://www.toronto4kids.com/July-2015/Cineplex-Family-Favourites-July/,Free & Cheap Outings,http://www.toronto4kids.com/images/cache/cache_e/cache_f/cache_9/cineplex-july-2015-dc9469fe.jpeg,July 2015,Join Cineplex on Saturday mornings for Family Favourites. Watch a family favourite film each week for only $2.99. It's a fun and affordable way to enjoy the weekend with your family! Here's the line-up for July.
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=353,Canada Day: Best Things to Do,http://www.toronto4kids.com/June-2015/Canada-Day-Guide-Best-Things-To-Do/,Free & Cheap Outings,http://www.toronto4kids.com/images/cache/cache_7/cache_1/cache_6/canada-day-2015-8bfbd617.jpeg,June 2015,"Celebrate the start of summer with our guide to Canada Day with kids! This summer, families can expect the usual over-the-top Canada Day fun at parks and attractions all over the city."
http://www.toronto4kids.com/Article-Archive/index.php?cp=1&si=0&tagID=353,Free Summer Movies in the Park,http://www.toronto4kids.com/June-2015/Free-Summer-Movies-in-the-Park-2015/,Free & Cheap Outings,http://www.toronto4kids.com/images/cache/cache_f/cache_0/cache_7/free-movies-in-the-park-201-0914170f.jpeg,June 2015,"It's that time again, when every Summer, families can gather in the park for free movies! Check out some of the newest and most popular family movies for all ages to enjoy."
http://www.toronto4kids.com/Article-Archive/index.php?cp=2&si=10&tagID=353,June on the Cheap!,http://www.toronto4kids.com/June-2015/June-on-the-Cheap/,Free & Cheap Outings,http://www.toronto4kids.com/images/cache/cache_a/cache_b/cache_9/june-cheap-2015-c98649ba.jpeg,June 2015,"June has a head-spinning number of fantastic fairs, parades, carnivals and other festivals that are completely Free. So go get your calendar: You're going to want to put some of these dates down."
http://www.toronto4kids.com/Article-Archive/index.php?cp=2&si=10&tagID=353,Cineplex Family Favourites June,http://www.toronto4kids.com/June-2015/Cineplex-Family-Favourites-June/,Free & Cheap Outings,http://www.toronto4kids.com/images/cache/cache_f/cache_d/cache_6/cineplex-may-2015-097426df.jpeg,June 2015,Join Cineplex on Saturday mornings for Family Favourites. Watch a family favourite film each week for only $2.99. It's a fun and affordable way to enjoy the weekend with your family! Here's the line-up for June.
http://www.toronto4kids.com/Article-Archive/index.php?cp=2&si=10&tagID=353,Best Family Picnic Spots ,http://www.toronto4kids.com/May-2015/Best-Picnic-Spots-in-Toronto-and-the-GTA/,Free & Cheap Outings,http://www.toronto4kids.com/images/cache/cache_9/cache_8/cache_9/picnic-lead-a4a24989.jpeg,May 2015,"Pack blankets, bites and refreshments for an alfresco feast at one of these great picnic spots. We've scouted five fabulous family picnic sites in and around the city."
http://www.toronto4kids.com/Article-Archive/index.php?cp=2&si=10&tagID=353,10 Free Sports Sites to Visit,http://www.toronto4kids.com/May-2015/10-Free-Sports-Sites-to-Visit-During-Doors-Open-Toronto/,Free & Cheap Outings,http://www.toronto4kids.com/images/cache/cache_9/cache_b/cache_b/sports-doors-open-lead-b3bdbbb9.jpeg,May 2015,"This year's Doors Open theme is Sports, Recreation and Leisure. We're highlighting 10 Sports Sites you may want to visit with your kids for some Free fun and activities!"
