URL,Title,SKU,Country,Area,Body,Size,Feels Like,Finish,Colour,Warranty,Edging,Images
http://www.nationaltiles.com.au/vic_pm/products/tiles/simplicity-limestone-external-18868,Simplicity Limestone External,NT13-2021FL,China,Outdoor,Ceramic,600 x 300mm,Sand,External Glazed,Ivory,10 Year Guarantee,Pressed,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/t/nt13-2021fl_4.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/creama-marfil-tumbled,Creama Marfil Tumbled,NT11-221GM,China,"Bathroom, Floor & Wall, Laundry",Stone,305 x 305mm,Slate,Honed,Cream,10 Year Guarantee,Tumbled,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/t/nt11-221gm_5.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/t/nt11-221gm_16.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/lead-glass-stainless-steel-mix-18904,Lead Glass Stainless Steel Mix ,NT11-222GM,China,"Bathroom, Laundry, Wall",Glass/ Steel,298 x 298mm,Glass,Honed,Grey,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/t/nt11-222gm.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/t/nt11-222gm_-_room_for_2.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/lead-glass-stainless-steel-mix-18905,Lead Glass Stainless Steel Mix ,NT11-223GM,China,"Bathroom, Laundry, Wall",Glass/ Steel,298 x 305mm,Glass,Honed,Grey,10 Year Guarantee,Rectified,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/t/nt11-223gm_5.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/lead-glass-stainless-steel-mix-18906,Lead Glass Stainless Steel Mix,NT11-224GM,China,"Bathroom, Laundry, Wall",Glass/ Steel,298 x 305mm,Glass,Honed,Grey,10 Year Guarantee,Rectified,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/t/nt11-224gm_5.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/resin-pebbles-and-glass-mix,Resin Pebbles And Glass Mix,NT11-227GM,China,"Bathroom, Kitchen, Laundry, Wall",Pebble/ Glass,298 x 298mm,Glass,Gloss,Multi,10 Year Guarantee,Rectified,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/t/nt11-227gm_updated_4.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/t/nt11-227gm_-_family_space.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/bluestone-and-glass-sticks,Bluestone And Glass Sticks ,NT11-230GM,China,"Bathroom, Laundry, Wall",Stone/ Glass,298 x 305mm,Glass,Honed,"White, Charcoal",10 Year Guarantee,Rectified,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/l/bluestone_and_glass_sticks_-_nt11-230gm.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/white-cloud-marble,White Cloud Marble,NT11-232GM,China,"Bathroom, Floor & Wall, Kitchen, Laundry",Marble,298 x 298mm,Slate,Honed,White,10 Year Guarantee,Tumbled,"http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/t/nt11-232gm_-_white_cloud_mosaic.jpg,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/t/nt11-232gm.jpg"
http://www.nationaltiles.com.au/vic_pm/products/tiles/liquorice-silk,Liquorice Silk,NT11-234GM,China,"Bathroom, Kitchen, Laundry, Wall",Glass,298 x 298mm,Glass,Gloss,Black,10 Year Guarantee,Pressed,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/i/liquorice_silk_-_nt11-234gm.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/crystal-white-blends-glass,Crystal White Blends Glass ,NT12-600GM,China,"Bathroom, Laundry, Wall",Glass,298 x 305mm,Glass,Gloss,White,10 Year Guarantee,Pressed,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/t/nt12-600gm.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/latte-blends-glass-mosaics,Latte Blends Glass Mosaics ,NT12-601GM,China,"Bathroom, Laundry, Wall",Glass,298 x 305mm,Glass,Gloss,Brown,10 Year Guarantee,Pressed,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/t/nt12-601gm.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/espresso-blends-glass-mosaic,Espresso Blends Glass  Mosaic ,NT12-602GM,China,"Bathroom, Kitchen, Laundry, Wall",Glass,298 x 305mm,Glass,Gloss,Light Brown,10 Year Guarantee,Pressed,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/t/nt12-602gm.jpg
http://www.nationaltiles.com.au/vic_pm/products/tiles/ebony-frosted-mix-glass-mosaic,Ebony Frosted Mix Glass Mosaic,NT12-603GM,China,"Bathroom, Kitchen, Laundry, Wall",Glass,298 x 305mm,Glass,Gloss,"Black, Grey & Clear",10 Year Guarantee,Pressed,http://www.nationaltiles.com.au/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/t/nt12-603gm.jpg
