URL,Title,# of Guest Reviews,Zip Code,List Price,About
https://dogvacay.com/small-dog-hosting-for-your-pup-dog-boarding-249771,Small Dog Hosting For Your Pup,3,55408,$25/night,"Hi there! We are 2 young professionals who are happy to help care for your dog while you are away and will treat your dog like a part of our family. We absolutely love caring for dogs. We have a 4-year old Beagle-Italian Greyhound mix named Charlotte who loves other dogs. She is 16 pounds, loves to play, and sleeps a"
https://dogvacay.com/pet-sit-in-your-home-dog-boarding-149013,Pet sit in your home,6,55414,,"I take care of your pets in your home. I lovingly care, walk, feed & play w/ your pets. I have Years of experience & love it. I also can do cleaning &/or organizing areas of your home while you are away for a fee.I do work P.T just so you know that I am gone part of some days."
https://dogvacay.com/fun-welcoming-home-for-pets-dog-boarding-358377,Fun Welcoming Home for Pets,8,55405,$25/night,"Jordan and I can offer an inviting home for your furry family member's dogcation. We provide an amazing location, just a block away from the closest park, and minutes away from beautiful lakes and parks that your pets can enjoy. I work from home and together we can provide constant attention, care, and cuddles. We"
https://dogvacay.com/johns-pet-services-dog-boarding-300287,John's Pet Services,29,55407,$35/night,"I am the owner of John's Pet Services. I am a member of Petsitters International and insured and bonded with 16 years of experience. I offer dog boarding in my home, dog walking and in home pet visits for all types of pets. Dogs boarding at my house have access to a fully fenced back yard with a gazebo and pond, and"
https://dogvacay.com/dianas-doggie-daycare-dog-boarding-145795,Diana's Doggie Daycare,28,55414,$25/night,"Hi! I’ve grown up around dogs and love having them around my condo! I am a graduate student at the University of Minnesota, so my hours can be flexible for drop-offs and pickups as I work only 10 minutes away. Guests at our apartment receive daily walks as well as lots of love and attention from my roommate and me."
https://dogvacay.com/dogs-are-my-kids-my-life-dog-boarding-85460,dogs are my kids. my life,15,55406,$25/night,"Our Mom is the best Mom We get to walk and run everyday off leash, but we know when she calls we better come or we have to go on leash. She lets us swim when the weather is nice. Mom likes taking us to different parks to play. She is good with nervous and scared dogs. We have a good size fenced back yard. Mom has a"
https://dogvacay.com/a-doggone-good-time-dog-boarding-148296,A Doggone Good Time,9,55409,,"I am a lover of all animals! I currently have 1 cat, Gigi, but I live vicariously through my friend's dogs. I'm great with dogs of all sizes. I've yet to work with an English Mastiff, but there's a first for everything! I'm able to walk, bathe, and doggy-sit at your place. I can do day or overnight stays. I work a 9-5"
https://dogvacay.com/what-a-pittie-dog-sitting-dog-boarding-359060,What-a-Pittie Dog Sitting,11,55408,$35/night,"I have been a volunteer at animal shelters and with dog rescues for a combined 10+ years at the City of Boston Animal Shelter, a local city shelter, a local pit bull rescue, and a local all-breed rescue. I am passionate about all breeds of dogs (and animals in general), and have an especially soft spot in my heart for"
https://dogvacay.com/camp-rosewood-dog-boarding-69095,Camp Rosewood,57,55113,$25/night,UPDATE: We have decided to spend more time at our cabin this summer! Unfortunately this does not mix well with dog sitting. We do keep our calendar up to date so you can check there first if we are available for the dates you are looking for. We are now in our 4th year hosting dogs in our home with dogvacay! We have
https://dogvacay.com/best-dog-aunt-dog-boarding-418921,Best Dog Aunt,,55407,,"I've been sitting for friends and acquaintances for many years and recently decided to get on DogVacay. If you would like references, please ask! I have a job with flexible hours and the ability to work from home so I can assure you, your dog will get plenty of attention, walks and play while I am sitting. I am not"
https://dogvacay.com/dog-whispering-pack-leader-dog-boarding-121802,Dog Whispering Pack Leader,12,55411,$25/night,"NEW CLIENTS, SAVE BY BOOKING THROUGH THIS LINK: dogvacay.com/pro/bigpawsnow I recently graduated with my masters in fine art so I've transitioned from full-time student to full-time artist. I have a flexible schedule as well as a Honda Element that loves to host dogs in the roomy back. I have taught as a college"
https://dogvacay.com/doggy-home-away-from-home-dog-boarding-318561,Doggy Home Away from Home,19,55422,$25/night,My husband and I are life-long animal lovers and have both had either dogs or cats our entire lives. Mark also fostered used to foster dogs and was a temporary home for 40+ dogs over about a 3 year period. My core hours are 7am to 8pm for pickups and dropoffs. I can do outside these hours but please know there may be
https://dogvacay.com/lakeside-paw-ty-dog-boarding-234400,Lakeside Paw-ty!,3,55408,$25/night,"Hi! I'm an avid dog-lover and am looking to provide your pooch with a comfortable and fun environment. I have a pup of my own, Finn, who has never met a dog he disliked. We live right by Lake of the Isles, so when weather permits we're out there everyday. If you have a high-energy dog, I'm more than happy to take him"
https://dogvacay.com/doggie-playhouse-dog-boarding-152220,Doggie Playhouse,53,55407,$35/night,"We're Peter & Ally. We are only accepting CURRENT clients at this time. As of the beginning of June, Peter now goes to work at an office downtown. However, your pup won't be alone the entire day because Ally has a quite flexible schedule that allows her to be home most of the day. So, dogs will be alone for about 4"
https://dogvacay.com/bryn-mawr-home-away-from-home-dog-boarding-288334,Bryn Mawr Home Away From Home,,55405,$55/night,"My wife Kari and I both grew up with dogs and have a 2 year old Australian cattle dog, Sydney, that we adopted at 8 weeks old. We also have a 10 year old cat, Memphis, so your pup needs to be comfortable around cats. Our home is a 2,300 sq ft home conveniently located 5 minutes west of downtown Minneapolis. We have an"
https://dogvacay.com/camphoebe-dog-boarding-59088,Camphoebe,32,55407,$35/night,"I am a single stable and honest non-smoker who lives in S Mpls. I Iove dogs, Let me care for yours while you are away on a well deserved vacation. I have no children, my dogs are my 1st priority. **NOW OFFERING TRAVEL DOG CARE** ** ASK ME FOR DETAILS ** Your dog(s) will be on vacation with me... I have a nice yard all"
https://dogvacay.com/small-dogs-are-our-specialty-dog-boarding-161910,Small dogs are our specialty!,20,55104,$30/night,"Hi, we're Christina and John. We live in a single family home near the University of St. Thomas and the Mississippi River, conveniently located just 6 miles or 15 minutes from the MSP International airport. In 2012 we lost our 16 year old Toy Poodle “Teddy” due to health complications. He joined his friend,"
https://dogvacay.com/pokys-haven-south-minneapolis-dog-boarding-135590,"Poky's Haven, South Minneapolis",31,55417,$38/night,I have been on dogvacay since August 2012. I work for a large corporation from home full time and have a beautiful ivory lab that is 3.5. She gets along with and loves all other dogs. She is a registered therapy dog with TDI and generally has a very laid back temperament! I also have 2 very friendly cats. I have over
https://dogvacay.com/asmallbiteofparadise-dog-boarding-120507,ASmallBiteOfParadise,13,55410,$34/night,"Not only do we have an enclosed place for puppy or dog to run free, but we live right off the Greenway and across the street from Lake Calhoun!! We are super active so we like to go for runs and long walks. We can match any dogs energy level :) This summer I (Cait) will be working from home so your furry child will"
https://dogvacay.com/dogtown-ne-mpls-dog-boarding-328063,Dogtown - NE Mpls.,1,55418,$30/night,"Lots of love and attention. I have a one-year old dog who wants a playmate when he can. I offer in home boarding or daycare. I work from home all day. Your dog will get at least one walk per day, rain or shine and will be able to play in the backyard with my dog. I live in NE Minneapolis, which is a great neighborhood"
https://dogvacay.com/stay-at-home-dog-lover-with-a-yard-dog-boarding-435110,Stay at home dog lover with a yard!,,55408,$25/night,"I love dogs but travel too often to own one myself yet. I work from home so your dog would not be left alone for more than a couple hours at a time after work hours. I have a big, fenced-in backyard that is shared with the neighbor and his yellow lab. Whether or not those 2 dogs have play time is up to you. I allow"
https://dogvacay.com/dog-lover-and-artist-dog-boarding-266364,Dog Lover and Artist,,55408,,"Hi, I'm a 24 year old artist and dog lover, I work at the Walker Art Center and have a dog of my own. My pup Tupelo, is a one and half year old Shepherd mix, who loves other dogs as well. I have always had a passion for dogs and taking care of them. I have never met a dog that I don't like. I'm looking to meet new"
https://dogvacay.com/love-your-pups-dog-boarding-262603,Love your pups!,1,55417,$30/night,"We live in S. Mpls and want to share our home and great neighborhood with your pup! My son and I fostered and quickly adopted our wonderful dog, Dena, over a year ago. We adore her and will adore your pup, as well. (I grew up with a Lhasa Apso in the family. Small and medium sized dogs work best for us. Or, gentle"
https://dogvacay.com/lots-of-love-dog-boarding-215668,Lots of Love!!!,5,55418,$35/night,"Hi! My name is Shawn! I am a mother of a 9 year old and a 2 year old. I am home all day during the day and my husband works from home so there is 24/7 care for your loved ones. We live in a quaint neighborhood in St. Anthony, MN that is full of pet loving families. Our house is within walking distance of a couple of"
https://dogvacay.com/crazy-dog-lover-dog-boarding-361816,Crazy dog lover. :),20,55104,$24/night,"Hi, I had my first dog when I was only 10 years old. I couldn't stop loving them since then. I used to have four dogs in my house, but two of them past away last year at their age of 12. I am not ready to raise another baby dog yet, so I would like to take care of dogs for other people who need me. I currently have"
https://dogvacay.com/k9-guardian-dog-boarding-147646,K9 Guardian,9,55429,$30/night,"Hello, my name is Grace and growing up on a dairy farm I learned to care for many animals, but have a special place in my heart for dogs (all breeds and sizes). I currently don't have any pets -- my beloved Abby of 14 years passed away. She was a black-lab, chow-chow mix who taught me the importance of play everyday."
https://dogvacay.com/1-dog-at-a-time-lk-harriet-heaven-dog-boarding-187229,1 dog at a time-Lk Harriet Heaven,6,55419,$35/night,"The major benefits to boarding with me are: (1) I will only be accepting 1 dog at a time, unless the dogs come from the SAME owner/same home and get along. so rest assured, your dog is getting the 1-on-1 attention and care it deserves! (2) I walk daily around the lake, year round, so why not bring a dog with me who"
