URL,Title,# of Guest Reviews,Zip Code,List Price
https://www.rover.com/members/jean-d-a-loving-home-for-paws-on-weekends/?centerlat=39.952340&service=home&maxlng=-75.1184713965&minlng=-75.2091086035&centerlng=-75.163790&apt=False&maxprice=100&zoomlevel=12&minlat=39.9070213965&maxlat=39.9976586035&hs=False&promoted=False&per_page=20&minprice=10&type=homes&refer=search,Jean D.,7,19130,$20 per night
https://www.rover.com/members/aria-n-i-love-dogs-of-all-shapes-sizes/?centerlat=39.952340&service=home&maxlng=-75.1184713965&minlng=-75.2091086035&centerlng=-75.163790&apt=False&maxprice=100&zoomlevel=12&minlat=39.9070213965&maxlat=39.9976586035&hs=False&promoted=False&per_page=20&minprice=10&type=homes&refer=search,Aria N.,3,19146,$40 per night
https://www.rover.com/members/cosmo-l-parks-playtime-pampering/?centerlat=39.952340&service=home&maxlng=-75.1184713965&minlng=-75.2091086035&centerlng=-75.163790&apt=False&maxprice=100&zoomlevel=12&minlat=39.9070213965&maxlat=39.9976586035&hs=False&promoted=False&per_page=20&minprice=10&type=homes&refer=search,Cosmo L.,3,19106,$28 per night
https://www.rover.com/members/julia-r-experienced-and-loving-dog-sitter/?centerlat=39.952340&service=home&maxlng=-75.1184713965&minlng=-75.2091086035&centerlng=-75.163790&apt=False&maxprice=100&zoomlevel=12&minlat=39.9070213965&maxlat=39.9976586035&hs=False&promoted=False&per_page=20&minprice=10&type=homes&refer=search,Julia R.,10,19147,$35 per night
https://www.rover.com/members/jenna-m-quiet-city-living-for-your-pup/?centerlat=39.952340&service=home&maxlng=-75.1184713965&minlng=-75.2091086035&centerlng=-75.163790&apt=False&maxprice=100&zoomlevel=12&minlat=39.9070213965&maxlat=39.9976586035&hs=False&promoted=False&per_page=20&minprice=10&type=homes&refer=search,Jenna M.,5,19130,$30 per night
https://www.rover.com/members/angeles-f-dog-fan-missing-my-mini-dachshund/?centerlat=39.952340&service=home&maxlng=-75.1184713965&minlng=-75.2091086035&centerlng=-75.163790&apt=False&maxprice=100&zoomlevel=12&minlat=39.9070213965&maxlat=39.9976586035&hs=False&promoted=False&per_page=20&minprice=10&type=homes&refer=search,Angeles F.,,19130,$17 per night
https://www.rover.com/members/shauna-h-doggie-loving-diva-loves-pups/?centerlat=39.952340&service=home&maxlng=-75.1184713965&minlng=-75.2091086035&centerlng=-75.163790&apt=False&maxprice=100&zoomlevel=12&minlat=39.9070213965&maxlat=39.9976586035&hs=False&promoted=False&per_page=20&minprice=10&type=homes&refer=search,Shauna H.,5,19121,$27 per night
https://www.rover.com/members/daniel-s-experienced-loving-family-w-backyard/?centerlat=39.952340&service=home&maxlng=-75.1184713965&minlng=-75.2091086035&centerlng=-75.163790&apt=False&maxprice=100&zoomlevel=12&minlat=39.9070213965&maxlat=39.9976586035&hs=False&promoted=False&per_page=20&minprice=10&type=homes&refer=search,Daniel S.,54,19146,$40 per night
https://www.rover.com/members/natasha-h-will-love-your-dog-like-my-own/?centerlat=39.952340&service=home&maxlng=-75.1184713965&minlng=-75.2091086035&centerlng=-75.163790&apt=False&maxprice=100&zoomlevel=12&minlat=39.9070213965&maxlat=39.9976586035&hs=False&promoted=False&per_page=20&minprice=10&type=homes&refer=search,Natasha H.,,19107,$20 per night
https://www.rover.com/members/william-c-dog-loving-sitter-available/?centerlat=39.952340&service=home&maxlng=-75.1184713965&minlng=-75.2091086035&centerlng=-75.163790&apt=False&maxprice=100&zoomlevel=12&minlat=39.9070213965&maxlat=39.9976586035&hs=False&promoted=False&per_page=20&minprice=10&type=homes&refer=search,William C.,,19104,$30 per night
