URL,Title,# of Guest Reviews,Zip Code,List Price
https://dogvacay.com/almost-home-dog-boarding-193778,ALMOST Home,10,35222,$30/night
https://dogvacay.com/peppers-place-birmingham-dog-boarding-298680,Pepper's Place Birmingham,31,35209,$25/night
https://dogvacay.com/home-away-from-home-dog-boarding-333615,Home Away From Home!,4,35209,$30/night
"https://dogvacay.com/come-on-rover-birmingham-al-dog-boarding-272921,""Come on Rover - Birmingham, AL"",22,35206,$30/night",,,,
https://dogvacay.com/jills-pet-care-services-dog-boarding-468288,Jill's Pet Care Services,,35242,$25/night
https://dogvacay.com/pet-luvins-pet-sitter-dog-boarding-35581,Pet Luvins Pet Sitter,2,35114,
https://dogvacay.com/muttly-manners-and-more-dog-boarding-75339,Muttly Manners and More,16,35758,$35/night
https://dogvacay.com/camp-time-dog-boarding-178841,Camp time!,1,35802,$30/night
https://dogvacay.com/nancys-stay-and-play-dog-boarding-211786,Nancy's Stay and Play,32,35758,$20/night
https://dogvacay.com/happy-tails-huntsville-dog-boarding-203666,Happy Tails Huntsville,3,35803,$25/night
https://dogvacay.com/the-dog-people-dog-boarding-41866,The Dog People,112,35758,$27/night
https://dogvacay.com/the-furbaby-inn-dog-boarding-205162,The Furbaby Inn,45,35756,$25/night
https://dogvacay.com/canine-cuddles-dog-boarding-398083,Canine Cuddles,1,35758,$25/night
https://dogvacay.com/all-furry-friends-welcome-dog-boarding-354624,All Furry Friends Welcome!!!,,35750,$25/night
https://dogvacay.com/temporary-parents-dog-boarding-129202,Temporary Parents,12,35175,$20/night
https://dogvacay.com/doggie-bark-and-breakfast-dog-boarding-250149,Doggie Bark and Breakfast,3,35611,$20/night
https://dogvacay.com/sit-n-stay-home-dog-boarding-dog-boarding-138301,Sit 'n Stay Home Dog Boarding,42,35976,$25/night
https://dogvacay.com/saranac-shelties-dog-boarding-39648,Saranac Shelties,2,35640,$25/night
https://dogvacay.com/happy-paws-inn-dog-boarding-29455,Happy Paws Inn,88,36109,$25/night
https://dogvacay.com/pampered-pet-owner-dog-boarding-233684,Pampered Pet Owner,2,36093,$20/night
https://dogvacay.com/ashley-s-country-getaway-dog-boarding-279508,Ashley ' s Country Getaway,1,36092,$20/night
https://dogvacay.com/happy-husky-dog-boarding-442227,Happy Husky,1,99504,$35/night
https://dogvacay.com/loves-dogs-dog-boarding-473005,Loves dogs,,99502,
https://dogvacay.com/where-fur-fun-meet-dog-boarding-47223,Where Fur & Fun Meet!,,99623,$25/night
https://dogvacay.com/doggie-heaven-dog-boarding-124408,Doggie Heaven,22,85003,$20/night
https://dogvacay.com/just-like-home-dog-boarding-121817,Just Like Home,6,85007,$25/night
https://dogvacay.com/doggy-vacay-camden-cooper-square-dog-boarding-307124,Doggy Vacay @ Camden Cooper Square,,85006,$31/night
https://dogvacay.com/patricias-pet-heaven-dog-boarding-136115,patricia's pet heaven,5,85006,$25/night
https://dogvacay.com/downtown-doggy-bb-dog-boarding-392514,Downtown Doggy B&B,,85007,$25/night
https://dogvacay.com/suzy-q-to-the-rescue-dog-boarding-177529,SUZY Q to the Rescue,32,85016,$35/night
https://dogvacay.com/pawsitively-great-care-dog-boarding-38487,pawsitively great care!,10,85006,$25/night
https://dogvacay.com/doggie-bed-barkfest-dog-boarding-36569,**DOGGIE BED & BARKFEST**,36,85015,$38/night
https://dogvacay.com/the-real-housedogs-of-arcadia-dog-boarding-273310,The Real Housedogs of Arcadia,5,85018,$45/night
https://dogvacay.com/big-backyard-in-central-phoenix-dog-boarding-270203,Big Backyard in Central Phoenix,28,85008,$35/night
https://dogvacay.com/puppy-playcation-dog-boarding-257194,Puppy Playcation!,,85015,$35/night
