First Name,Last Name,Department
University of Houston,Accounting,ACCT 2331,ACCT,Accounting Principles 1 - Financial
University of Houston,Accounting,ACCT 2332,ACCT,Accounting Principles 2 - Managerial
University of Houston,Accounting,ACCT 3337,ACCT,Management Accounting
University of Houston,Accounting,ACCT 3366,ACCT,Financial Reporting Frameworks
University of Houston,Accounting,ACCT 3367,ACCT,Intermediate Accounting 1
University of Houston,Accounting,ACCT 3368,ACCT,Intermediate Accounting 2
University of Houston,Accounting,ACCT 3371,ACCT,Accounting Information Systems
University of Houston,Accounting,ACCT 3399,ACCT,Senior Honors Thesis
University of Houston,Accounting,ACCT 4105,ACCT,Professional Program in Accountancy Colloquium 1
University of Houston,Accounting,ACCT 4106,ACCT,Professional Program in Accountancy Colloquium 2
University of Houston,Accounting,ACCT 4107,ACCT,Oil and Gas Accounting Colloquium
University of Houston,Accounting,ACCT 4108,ACCT,Internal Audit Colloquium
University of Houston,Accounting,ACCT 4198,ACCT,Independent Study
University of Houston,Accounting,ACCT 4298,ACCT,Independent Study
University of Houston,Accounting,ACCT 4330,ACCT,Advanced Accounting
University of Houston,Accounting,ACCT 4331,ACCT,Federal Income Tax 1 - Individual
University of Houston,Accounting,ACCT 4332,ACCT,Federal Income Tax 2 - Corporate
University of Houston,Accounting,ACCT 4335,ACCT,Financial Statement Auditing
University of Houston,Accounting,ACCT 4344,ACCT,Financial Statement Analysis
University of Houston,Accounting,ACCT 4375,ACCT,Internal Auditing and the Entity Control Environment
University of Houston,Accounting,ACCT 4377,ACCT,Governmental and Nonprofit Accounting
University of Houston,Accounting,ACCT 4378,ACCT,Oil and Gas Accounting 1
University of Houston,Accounting,ACCT 4379,ACCT,Enterprise Risk Management
University of Houston,Accounting,ACCT 4380,ACCT,Control and Security of Internal Financial Information: Theory and Practice
University of Houston,Accounting,ACCT 4381,ACCT,Oil and Gas Accounting 2
University of Houston,Accounting,ACCT 4382,ACCT,Oil and Gas Accounting 3
University of Houston,Accounting,ACCT 4396,ACCT,Accounting Internship
University of Houston,Accounting,ACCT 4397,ACCT,Selected Topics in Accounting
University of Houston,Accounting,ACCT 4398,ACCT,Independent Study
